phase fields,pareto front,magpie37,random200,megnet16,leaf36,mat2vec
Ca Mg O Ta      ,41,10.843,27.98,7.064,11.918,26.894
Ba Mg O Zr      ,41,11.02,27.828,6.948,11.987,25.499
Mg O Ta Y       ,41,11.044,28.085,7.512,12.277,26.575
Ba Ca Mg O      ,41,11.175,27.549,6.924,12.171,25.687
Ba Mg O Y       ,41,11.37,27.656,7.381,12.523,25.354
Ba Li Mg O      ,41,11.686,27.693,6.744,10.76,26.846
Ba La Mg O      ,41,11.697,27.463,7.704,12.129,26.345
Ba Mg O Sr      ,41,11.767,27.272,7.115,11.654,26.304
K La Mg O       ,41,12.587,27.559,6.878,11.4,26.591
K Mg O Ta       ,41,13.061,27.86,6.675,10.519,26.956
Br Mg Sn Zr     ,42,8.903,29.83,5.426,11.393,29.635
Cl Li Mg Sn     ,42,9.669,29.598,5.353,9.854,29.62
B Mg S Zn       ,43,8.907,29.373,8.401,11.803,26.992
Al B Mg S       ,43,8.944,29.28,8.154,11.739,26.673
Mg S Sr Zn      ,43,9.318,29.186,6.536,11.339,26.933
Ba Mg S Zn      ,43,10.229,29.242,6.837,11.254,26.147
Mg N Si Sn      ,43,10.702,29.261,8.365,11.764,26.753
K Mg N Si       ,43,13.16,29.123,8.365,11.523,26.812
Ca Mg S Zr      ,44,8.933,29.485,6.081,12.42,26.9
Ca Cl Mg P      ,45,8.948,29.203,5.702,12.681,28.441
Mg P S Y        ,46,8.958,29.085,6.264,13.153,26.623
I Mg P Zr       ,47,8.981,29.317,5.468,13.133,28.657
Ca I Mg Si      ,48,8.986,29.192,5.228,13.224,28.32
Br Ca Mg P      ,49,8.998,29.311,5.525,12.869,29.67
I Mg Si Sr      ,49,9.713,28.931,5.478,12.75,28.881
Cl Mg Si Y      ,50,9.007,29.443,6.066,12.942,27.623
Mg P S Sr       ,50,9.457,28.72,5.948,12.328,27.53
Ca I Mg Zn      ,51,9.027,29.514,6.076,12.389,28.256
Cl Mg Y Zn      ,52,9.047,29.762,6.81,12.087,27.557
Al Cl Mg Y      ,52,9.084,29.67,6.503,12.024,27.245
Mg S Sr Zr      ,52,9.663,29.226,6.297,11.914,27.489
Mg S Si Ta      ,52,9.828,29.328,6.254,11.914,27.4
Al Mg S Ta      ,52,9.899,29.556,6.679,10.91,27.018
Al Ba Cl Mg     ,52,10.465,29.367,6.516,11.03,27.379
Ba Mg S Zr      ,52,10.545,29.281,6.609,11.833,26.72
Ba Mg S Sr      ,52,11.323,28.753,6.785,11.496,27.489
B Mg P S        ,53,9.052,28.91,7.952,12.757,27.587
Ca La Mg O      ,53,10.267,27.68,7.256,12.702,26.528
La Mg O Sr      ,53,10.909,27.404,7.438,12.208,27.125
Br Mg Si Y      ,54,9.057,29.55,5.899,13.125,28.887
I Mg Sn Y       ,54,9.499,29.414,5.891,12.42,28.661
Ba I Mg Si      ,54,10.59,28.987,5.834,12.675,28.149
I K Mg Y        ,54,12.203,29.277,5.892,12.192,28.716
Br Ca Mg Sn     ,55,9.095,29.57,5.397,11.586,29.798
Cl K Li Mg      ,55,12.336,29.461,5.354,9.565,29.674
Br Mg Y Zn      ,56,9.097,29.867,6.662,12.284,28.823
Al Br Mg Y      ,56,9.133,29.776,6.348,12.222,28.525
Ca Cl Mg Zr     ,56,9.166,29.701,6.065,12.279,28.402
La Mg S Sn      ,56,9.462,29.164,6.535,11.485,27.707
Cl Mg Sr Zn     ,56,9.542,29.405,6.521,11.185,28.433
Al Cl Mg Sr     ,56,9.576,29.312,6.2,11.116,28.131
I Mg Sr Zn      ,56,9.751,29.255,6.292,11.882,28.817
Ca Mg S Sr      ,56,9.84,28.96,6.272,12.099,27.664
Li Mg S Y       ,56,9.966,29.458,6.381,11.62,27.876
Mg P S Ta       ,56,9.997,29.189,6.432,11.998,27.921
Mg S Sn Ta      ,56,10.083,29.449,6.322,10.612,28.057
Al Ba Br Mg     ,56,10.508,29.474,6.361,11.244,28.653
Ba Cl Mg P      ,56,10.557,28.998,6.263,12.107,28.271
Ba I Mg Zn      ,56,10.625,29.31,6.604,11.801,28.084
Al Ba I Mg      ,56,10.656,29.217,6.287,11.736,27.778
Ba Cl Mg Zr     ,56,10.743,29.499,6.595,11.685,28.231
Li Mg O Sr      ,56,10.898,27.635,6.439,10.849,27.612
Ba Ca Cl Mg     ,56,10.902,29.236,6.57,11.874,28.402
Ba Li Mg S      ,56,11.239,29.153,6.395,10.588,28.008
K La Mg S       ,56,12.173,29.025,6.536,11.238,27.764
K Mg S Ta       ,56,12.663,29.311,6.323,10.344,28.114
B Cl Mg Si      ,57,9.101,29.27,7.797,12.539,28.553
Mg S Sr Y       ,57,10.061,29.062,6.772,12.453,27.355
La Mg S Sr      ,57,10.429,28.878,7.123,12.056,28.276
Ba Mg S Y       ,57,10.91,29.118,7.063,12.376,26.581
Ba La Mg S      ,57,11.25,28.934,7.4,11.976,27.528
Li Mg O Ta      ,57,11.369,28.122,6.888,10.472,28.002
Ba Mg S Ta      ,57,11.778,29.221,7.212,11.141,27.881
B Cl Mg Zn      ,58,9.141,29.59,8.39,11.655,28.489
B Mg S Sn       ,58,9.148,29.172,7.864,11.462,27.725
Al B Cl Mg      ,58,9.177,29.498,8.142,11.59,28.187
Al Cl La Mg     ,58,9.49,29.49,6.868,11.613,28.169
Al F Mg Sn      ,58,9.665,29.447,7.796,10.863,28.252
Ba Cl Mg Zn     ,58,10.433,29.46,6.823,11.098,27.69
B K Mg S        ,58,11.931,29.033,7.864,11.215,27.782
Al F K Mg       ,58,12.332,29.309,7.796,10.602,28.308
B Br Mg Si      ,59,9.15,29.378,7.668,12.729,29.777
La Mg S Zn      ,59,9.229,29.365,7.172,11.826,26.973
Cl La Mg Si     ,59,9.416,29.262,6.455,12.56,28.536
Br Mg Si Sr     ,59,9.551,29.19,5.563,12.299,29.724
B I Mg Sn       ,59,9.588,29.241,7.663,12.0,29.559
Cl La Mg P      ,59,9.592,29.122,6.627,12.641,29.036
F Mg Si Sn      ,59,9.592,29.219,7.435,11.871,28.618
Cl Mg P Sr      ,59,9.678,28.942,5.932,12.186,28.999
Al I La Mg      ,59,9.7,29.341,6.65,12.286,28.557
Ca La Mg S      ,59,9.756,29.14,6.933,12.556,27.703
F Mg P Sn       ,59,9.765,29.079,7.585,11.956,29.117
Cl Mg Sn Sr     ,59,9.767,29.204,5.813,10.824,29.13
