element,Pettifor,Number,AtomicVolume,AtomicWeight,BCCbandgap,BCCefflatcnt,BCCenergydiff,BCCenergy_pa,BCCfermi,BCCmagmom,BCCvolume_padiff,BCCvolume_pa,Column,CovalentRadius,Electronegativity,FirstIonizationEnergy,GSbandgap,GSefflatcnt,GSenergy_pa,GSestBCClatcnt,GSestFCClatcnt,GSmagmom,GSvolume_pa,ICSDVolume,MendeleevNumber,NdUnfilled,NdValence,NfUnfilled,NfValence,NpUnfilled,NpValence,NsUnfilled,NsValence,NUnfilled,NValance,Polarizability,Row
Si,85.0,14.0,20.0163777166128,28.0855,0.0,6.1601326783139,0.522907615,-4.90201039,9.91441468,0.0,-5.83,14.61,14.0,111.0,1.9,8.15168,0.773,6.88969967718387,-5.424918005,3.444849839,4.340238825,0.0,20.44,20.02,78.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,4.0,4.0,5.53,3.0
P,89.0,15.0,28.2141218166412,30.973762,0.0,6.09622627827544,0.7174728425,-4.6830362,10.06787517,0.0,-8.4102380952,14.16,15.0,107.0,2.19,10.48669,1.625,7.12118127259094,-5.4005090425,3.560590636,4.486063093,0.0,22.5702380952,18.99,83.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,3.0,5.0,3.63,3.0
S,96.0,16.0,27.1665457946712,32.065,0.0,6.29893321989283,1.09442756875,-3.00278915,7.76558603,0.0,-10.166875,15.62,16.0,105.0,2.58,10.36001,2.202,7.44456910923797,-4.09721671875,3.722284555,4.689784664,0.0,25.786875,25.76,88.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,2.0,6.0,2.9,3.0
Cl,101.0,17.0,18317.5070375642,35.453,0.0,6.90091705237582,0.829888055,-0.9545457,2.21271389,0.0,-3.9575,20.54,17.0,102.0,3.16,12.96763,2.493,7.31836247921715,-1.784433755,3.65918124,4.610279469,0.0,24.4975,29.05,94.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,2.0,1.0,7.0,2.18,3.0
Ar,3.0,18.0,37184.285422807,39.948,0.0,9.04960266053603,-1.08407189,-1.02553085,1.07931739,0.0,17.78,46.32,18.0,106.0,0.0,15.75961,9.26,7.7006015159482,0.05854104,3.850300758,4.851074973,0.0,28.54,36.3,100.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,8.0,1.6411,3.0
K,10.0,19.0,75.8478646830779,39.0983,0.0,10.4878165565084,0.00102371332999995,-1.096516,-0.05407911,0.0,-1.0066666667,72.1,1.0,203.0,0.82,4.3406633,0.0,10.5364017480964,-1.09753971333,5.268200874,6.637517176,0.0,73.1066666667,75.63,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,43.23,4.0
Ca,16.0,20.0,42.9371873024716,40.078,0.0,8.3830345410422,0.0210703550000002,-1.92725921,2.89542357,0.0,-0.950000000000003,36.82,2.0,176.0,1.0,6.11316,0.0,8.45452064866223,-1.948329565,4.227260324,5.326014266,0.0,37.77,44.19,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,25.7333333333,4.0
Sc,48.0,21.0,25.0093109185916,44.955912,0.0,7.08202821013824,0.11342193,-6.17209116,4.45180104,0.0,-0.0350000000000001,22.2,3.0,170.0,1.36,6.56149,0.0,7.08574804255262,-6.28551309,3.542874021,4.463741557,6.35e-06,22.235,24.96,11.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,3.0,17.8,4.0
Ti,51.0,22.0,17.6363171588061,47.867,0.0,6.45883252009245,0.11395901,-7.66126811,2.97615095,0.0,0.149999999999999,16.84,4.0,160.0,1.54,6.82812,0.0,6.43959824146465,-7.77522712,3.219799121,4.056692689,2.25333333333e-05,16.69,17.67,43.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,4.0,14.6,4.0
V,54.0,23.0,13.8448982209802,50.9415,0.0,5.92651097618832,0.0,-8.93926069,6.45502198,0.0,0.0,13.01,5.0,153.0,1.63,6.74619,0.0,5.92651097618832,-8.93926069,2.963255488,3.733467966,0.0,13.01,13.88,46.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,5.0,12.4,4.0
