phases,cgcnn,mat2vec,pareto_cgcnn_mat2vec,anion radii diff %,distance from LSSI,leaf,Predicted_Order?,pareto_cgcnn_mat2vec_distance from LSSI,distance_from_LiTa2PO8
Cl Li Te Zr     ,0.35,0.491,43,24.0,10.0,0.084,False,22,19.75
Cl I Li W       ,0.287,0.585,43,23.4,8.25,0.421,True,22,17.5
I Li S V        ,0.32,0.523,43,21.2,7.75,0.161,True,22,17.5
Ga I Li S       ,0.301,0.575,43,21.2,1.5,0.203,True,17,11.25
Ca I Li S       ,0.367,0.484,43,21.2,17.25,0.295,True,9,27.0
Br I Li Sn      ,0.256,0.668,43,13.2,1.5,0.985,False,18,10.75
I In Li Se      ,0.31,0.528,43,12.0,1.5,0.361,False,14,11.25
B F Li N        ,0.363,0.489,43,10.9,3.0,0.184,True,20,12.25
Br Cl Li Sr     ,0.277,0.636,43,9.0,19.0,0.199,True,18,28.25
Br Li Se Ta     ,0.254,0.726,43,1.1,8.75,0.146,True,22,18.5
Al F I Li       ,0.355,0.512,44,73.1,3.25,0.232,True,20,12.5
F I Li Si       ,0.303,0.541,44,73.1,1.5,0.251,True,23,10.75
B F Li Se       ,0.292,0.593,44,54.6,1.25,0.215,True,17,10.5
F Li S Sr       ,0.323,0.523,44,42.9,18.25,0.174,True,12,28.0
Ba Cl F Li      ,0.363,0.495,44,40.3,19.75,0.164,True,20,29.0
B Br Li N       ,0.321,0.534,44,37.9,2.5,0.157,True,9,11.75
Cl Cs Li N      ,0.718,0.476,44,26.5,21.75,0.226,True,21,31.5
Cl I Li Mo      ,0.306,0.54,44,23.4,8.5,0.206,True,23,17.75
B I Li S        ,0.384,0.489,44,21.2,0.25,0.221,True,1,9.5
Br Ce I Li      ,0.254,0.753,44,13.2,14.5,0.094,True,15,23.75
Li Se Ta Te     ,0.26,0.671,44,12.5,9.75,0.16,False,9,18.5
Li Se Sr Te     ,0.287,0.654,44,12.5,19.0,0.209,True,24,27.75
I In Li Te      ,0.317,0.537,44,0.5,1.75,0.352,False,10,11.5
B F Li Te       ,0.299,0.601,45,73.9,1.5,0.205,True,19,10.75
B Br F Li       ,0.293,0.658,45,52.9,2.0,0.192,True,20,10.75
Cl F Li Ta      ,0.294,0.609,45,40.3,10.25,0.11,True,23,19.5
Cl I Li Mg      ,0.315,0.55,45,23.4,4.25,0.027,True,10,13.5
Li Se Te Ti     ,0.364,0.497,45,12.5,10.0,0.334,False,20,18.75
Ge I Li Se      ,0.26,0.689,45,12.0,0.5,0.199,False,16,10.25
I Li Se W       ,0.291,0.66,45,12.0,7.25,0.993,False,20,17.0
Ba Br Cl Li     ,0.321,0.54,45,9.0,19.25,0.136,True,12,28.5
Cl Li S Sc      ,0.565,0.493,45,1.8,9.75,0.953,True,21,19.5
F I Li Sn       ,0.299,0.624,46,73.1,2.0,0.265,True,12,11.25
I Li Mo N       ,0.38,0.512,46,56.1,9.25,0.286,True,7,19.0
F Li Se Ta      ,0.297,0.683,46,54.6,9.25,0.177,True,20,19.0
Cl F Li Zr      ,0.386,0.504,46,40.3,11.0,0.271,True,17,20.25
Li N Se Sr      ,0.351,0.543,46,39.4,20.5,0.189,True,22,29.25
Cl I K Li       ,0.645,0.501,46,23.4,20.0,0.039,True,12,29.25
Cl Ga I Li      ,0.298,0.642,46,23.4,2.75,0.323,True,21,12.0
Al Br I Li      ,0.313,0.557,46,13.2,2.75,0.206,True,14,12.0
Br I In Li      ,0.311,0.594,46,13.2,2.25,0.273,False,15,11.5
I Li Mo Se      ,0.31,0.616,46,12.0,7.5,0.176,False,19,17.25
I Li Se Zn      ,0.372,0.535,46,12.0,3.0,0.21,False,18,12.75
Br Cl Li Zr     ,0.344,0.549,46,9.0,10.5,0.057,True,18,19.75
Ge I Li Te      ,0.267,0.697,46,0.5,0.75,0.123,False,20,10.5
Ce I Li Te      ,0.261,0.698,46,0.5,14.0,0.222,True,12,23.75
F I In Li       ,0.353,0.55,47,73.1,2.75,0.126,True,16,12.0
Ba I Li N       ,0.521,0.508,47,56.1,19.75,0.21,True,22,29.5
I Li Mg N       ,0.388,0.522,47,56.1,5.0,0.281,True,16,14.75
F Li Se Ti      ,0.399,0.51,47,54.6,9.5,0.257,True,22,19.25
Li N Se Ta      ,0.326,0.56,47,39.4,11.25,0.138,True,21,20.0
Ba Br Li N      ,0.394,0.512,47,37.9,20.0,0.148,True,21,29.75
Cl I Li V       ,0.318,0.591,47,23.4,9.0,0.431,True,18,18.25
Br Li Ta Te     ,0.261,0.734,47,13.7,9.0,0.135,True,18,18.75
Ba Li Se Te     ,0.33,0.559,47,12.5,19.25,0.194,True,19,28.0
Br Cl K Li      ,0.527,0.505,47,9.0,20.25,0.152,True,18,29.5
Br Li Se Sr     ,0.281,0.71,47,1.1,18.0,0.196,True,22,27.75
I Li Te Zn      ,0.379,0.544,47,0.5,3.25,0.099,False,13,13.0
I Li Te W       ,0.298,0.668,47,0.5,7.5,0.112,False,22,17.25
I Li Mo Te      ,0.317,0.624,47,0.5,7.75,0.348,False,18,17.5
F Li Ta Te      ,0.304,0.691,48,73.9,9.5,0.144,True,22,19.25
F Li Te Ti      ,0.406,0.518,48,73.9,9.75,0.173,False,22,19.5
Ce F I Li       ,0.298,0.71,48,73.1,15.0,0.148,True,21,24.25
Li N Ta Te      ,0.332,0.569,48,56.8,11.5,0.127,True,20,20.25
Li N Sr Te      ,0.358,0.551,48,56.8,20.75,0.178,True,23,29.5
I Li N Zr       ,0.542,0.517,48,56.1,11.0,0.144,True,23,20.75
