phases,cgcnn,mat2vec,pareto_cgcnn_mat2vec,anion radii diff %,distance from LSSI,leaf,Predicted_Order?
Cl Li N W       ,0.218,0.417,22,26.5,9.5,0.004,True
Br In Li Se     ,0.166,0.533,22,1.1,1.75,0.062,False
Cl Ga Li Se     ,0.153,0.581,22,10.2,2.25,0.08,True
Br Li S Zn      ,0.233,0.392,22,7.1,3.0,0.13,True
Cl Li Se Zn     ,0.229,0.394,22,10.2,3.5,0.135,True
Br Ge Li Se     ,0.112,0.693,22,1.1,0.75,0.148,False
Li O Se Ta      ,0.226,0.416,22,46.0,9.0,0.154,True
F Li Sn Te      ,0.162,0.572,22,73.9,1.75,0.157,True
Cl F Ge Li      ,0.156,0.575,22,40.3,2.25,0.159,True
Ge Li Se Te     ,0.119,0.638,22,12.5,1.75,0.162,False
Ba Br Li O      ,0.298,0.366,22,44.4,18.25,0.164,True
Al Br Li Se     ,0.169,0.495,22,1.1,2.25,0.169,True
Li O S Sc       ,0.545,0.316,22,34.9,9.75,0.176,True
Cl Li Mg Se     ,0.17,0.488,22,10.2,3.75,0.207,True
I Li S Si       ,0.257,0.372,22,21.2,0.0,0.234,False
Cl Li S Y       ,0.578,0.294,22,1.8,16.5,0.295,True
F Gd Li S       ,0.142,0.602,22,42.9,15.5,0.297,True
Li Mg S Se      ,0.173,0.418,22,8.2,4.0,0.304,True
F Li O Y        ,0.597,0.29,22,5.9,17.0,0.321,True
Cl Li S Zr      ,0.343,0.333,22,1.8,9.5,0.947,True
F Li O Zr       ,0.364,0.328,22,5.9,10.0,0.963,True
Cl Li Te Zn     ,0.237,0.403,23,24.0,3.75,0.052,True
In Li Se Te     ,0.173,0.475,23,12.5,2.75,0.077,False
Ga Li N S       ,0.233,0.406,23,28.8,4.25,0.103,True
Br Ga Li S      ,0.156,0.579,23,7.1,1.75,0.111,True
Cl F Gd Li      ,0.139,0.668,23,40.3,16.75,0.134,True
Br Ge Li Te     ,0.12,0.702,23,13.7,1.0,0.137,False
Li N Te Zn      ,0.314,0.374,23,56.8,6.0,0.141,True
Cs Li N O       ,0.7,0.299,23,4.8,21.75,0.159,True
F Ga Li O       ,0.176,0.43,23,5.9,2.5,0.165,True
Li O Se Sr      ,0.253,0.398,23,46.0,18.25,0.204,True
Br Ce Li Te     ,0.112,0.703,23,13.7,14.25,0.213,True
Li N Nb S       ,0.262,0.383,23,28.8,10.75,0.219,True
Br Li N Si      ,0.189,0.418,23,37.9,2.25,0.229,True
Br K Li O       ,0.506,0.329,23,44.4,19.25,0.24,True
F Li N Sb       ,0.188,0.424,23,10.9,2.75,0.249,True
I Li Mg O       ,0.292,0.376,23,63.5,3.25,0.266,True
Cl Gd Li N      ,0.17,0.545,23,26.5,17.25,0.274,True
Li Mg S Te      ,0.181,0.427,23,21.8,4.25,0.295,False
Li S Se Ti      ,0.356,0.339,23,8.2,9.5,0.318,False
F In Li N       ,0.286,0.38,23,10.9,4.0,0.456,True
I K Li O        ,0.626,0.325,23,63.5,19.0,0.494,True
Br Li Se W      ,0.145,0.664,23,1.1,7.5,0.964,False
Li Se Te W      ,0.152,0.608,23,12.5,8.5,0.972,False
Cl K Li N       ,0.589,0.329,24,26.5,21.25,0.038,True
