phases,pareto_magpie_mat2vec,anion radii diff %,cation radii diff %,cation charge diff,distance from LSSI,distance from LSGSI,Predicted_Order?
Cs Li V Te N,271,56.8,132.8,4.0,21.8,24.0,False
Rb Li Ti Te Br,271,13.7,94.9,3.0,20.2,22.4,False
Sr Li Mo I F,271,73.1,70.3,4.0,18.6,20.8,False
Li Y V Te Br,271,13.7,33.8,2.0,18.1,19.4,False
Sr Li Ca I Br,271,13.2,15.8,0.0,26.2,28.4,False
K Ba Li I Cl,271,23.4,2.0,1.0,27.5,30.0,False
Li Nb Ge I O,271,63.5,6.5,1.0,8.4,6.6,False
Li Nb V Te N,271,56.8,5.5,0.0,16.9,15.0,False
Rb Li Sn Cl F,271,40.3,100.0,3.0,14.5,17.0,True
Li Gd W S Br,271,7.1,40.2,3.0,16.6,17.4,False
Li Ga B Cl F,271,40.3,85.4,0.0,6.8,2.8,True
Sr Li Sc Br F,271,52.9,49.2,1.0,20.4,22.6,False
Li Ga Br Cl F,271,52.9,,,7.6,5.6,True
Li Hf Te Se Cl,271,24.0,,,9.0,9.2,True
Sr Li Nb Se N,271,39.4,61.0,3.0,20.7,22.6,False
Li Y Sc Te S,271,21.8,17.5,0.0,19.7,21.0,False
Li La W Se S,271,8.2,52.9,3.0,16.6,16.8,False
Li Y Sc I Cl,271,23.4,17.5,0.0,19.4,21.0,False
Sr Li La Te Br,271,13.7,12.6,1.0,23.1,25.0,False
Sr Li Zr Se O,271,46.0,53.5,2.0,19.7,21.6,False
Li Nb Mo Br O,271,44.4,5.8,1.0,14.2,12.4,False
Li La Nb Cl F,271,40.3,42.9,2.0,17.9,18.4,False
Li Gd In S F,271,42.9,14.4,0.0,12.4,13.2,False
Rb Li Si I O,271,63.5,207.4,3.0,12.9,15.2,False
Rb Li Sb Se O,271,46.0,100.0,2.0,13.4,16.8,False
Li La B S I,271,21.2,185.9,0.0,10.2,10.6,False
Li Ta Zn I Cl,271,23.4,7.3,3.0,11.1,9.6,False
Li Nb Ga Br N,271,37.9,7.9,2.0,11.1,9.2,False
Cs Li V Cl F,271,40.3,132.8,4.0,20.5,23.0,False
Li Sc Ti Te N,271,56.8,3.9,1.0,18.0,16.6,False
Rb Li W S Br,271,7.1,116.5,5.0,18.6,20.8,False
K Rb Li S Cl,271,1.8,9.2,0.0,28.2,30.4,False
Li Gd Si Se Br,271,1.1,99.1,1.0,11.2,12.0,False
Li Gd Mo S F,271,42.9,38.7,3.0,17.2,18.0,False
Li Nb V I N,271,56.1,5.5,0.0,15.9,14.0,False
Rb Li Ga S O,271,34.9,118.4,2.0,14.4,16.6,True
Sr Li Sc S I,272,21.2,49.2,1.0,19.3,21.2,False
Li Hf Al Te Cl,272,24.0,25.9,1.0,10.6,9.0,False
Cs Li Sn Br Cl,272,9.0,118.1,3.0,14.3,16.8,False
Li Ca Hf Te N,272,56.8,34.1,2.0,21.4,23.2,False
Li Ga Br N F,272,52.9,,,6.6,3.0,True
Rb Li P Se Cl,272,10.2,201.8,4.0,13.4,16.4,False
Rb Li B I O,272,63.5,304.9,2.0,12.9,15.4,True
Li La In S I,272,21.2,24.7,0.0,11.2,11.4,False
Sr Li Nb I Cl,272,23.4,61.0,3.0,19.0,21.2,False
Li Ga W Br F,272,52.9,0.9,3.0,10.0,8.0,False
Li La Ga Te Cl,272,24.0,54.2,0.0,12.2,12.4,False
Li Ta Ge Br Cl,272,9.0,6.5,1.0,9.3,7.8,False
Li Hf In Se S,272,8.2,10.6,1.0,10.2,8.6,False
Li La Sc I N,272,56.1,32.4,0.0,19.2,19.4,False
Li Ta Ge Br Cl,272,9.0,6.5,1.0,9.3,7.8,False
Li Ta I Br Cl,272,23.4,,,9.7,10.4,False
Rb Li Ca Te Cl,272,24.0,45.6,1.0,27.4,29.6,False
Li Nb Ga Te I,272,0.5,7.9,2.0,9.7,7.8,False
Rb Li Te P Cl,272,24.0,201.8,4.0,13.6,16.6,False
Li Nb W Br F,272,52.9,7.0,1.0,14.8,13.2,False
Li Hf Te P N,272,56.8,54.5,1.0,10.8,9.8,False
Li Sc W I O,272,63.5,15.4,3.0,14.3,13.0,False
Sr Li Sc N F,272,10.9,49.2,1.0,21.5,23.4,False
Li Ta Si Te F,272,73.9,51.9,1.0,9.2,7.4,False
Li Zr Ga I F,272,73.1,13.2,1.0,10.6,9.4,False
Rb Li V Se O,272,46.0,113.5,4.0,19.6,21.8,False
Rb Li Sb N Cl,272,26.5,100.0,2.0,14.2,17.0,True
Rb Li Nb O F,272,5.9,102.4,4.0,19.9,22.2,False
Li Hf Zn N F,272,10.9,3.5,2.0,12.8,11.2,True
Rb Li Mg S O,272,34.9,93.0,1.0,15.6,17.8,False
Li Zr Nb Te Se,272,12.5,4.9,1.0,16.1,14.6,False
Sr Li Sn Te Se,272,12.5,59.0,2.0,13.5,15.4,False
Li Sc V S N,272,28.8,13.8,2.0,17.0,15.6,False
Rb Li Zn Te O,272,64.3,88.6,1.0,15.8,18.0,False
Li Gd V Se O,272,46.0,38.3,2.0,17.6,18.4,False
Rb Li Zn Br Cl,272,9.0,88.6,1.0,15.9,18.4,False
Cs Li Ga O F,272,5.9,138.2,2.0,14.9,17.2,True
Li V Ga I F,272,73.1,2.3,2.0,10.1,8.4,False
K Li Nb Se I,272,12.0,85.4,4.0,19.2,21.4,False
Li Al B I N,272,56.1,64.6,0.0,7.2,3.0,False
Sr Li Ta Br F,272,52.9,61.0,3.0,19.6,21.8,False
Li Nb Ga Se I,273,12.0,7.9,2.0,9.5,7.6,False
Rb Li Sc S O,273,34.9,87.6,2.0,20.6,22.8,False
Li Nb Te W S,273,21.8,7.0,1.0,14.7,12.8,False
Li Hf V S F,273,42.9,9.3,1.0,15.2,13.6,False
Li Y V Se O,273,46.0,33.8,2.0,18.1,19.4,False
Li Hf Zr S Br,273,7.1,1.2,0.0,15.7,14.2,False
Cs Li Zn Br F,273,52.9,105.7,1.0,16.3,18.8,True
Li Ta Te P O,273,64.3,49.1,0.0,9.0,8.0,False
K Rb Li Te O,273,64.3,9.2,0.0,28.6,30.8,False
Rb Sr Li Cl O,273,32.5,25.8,1.0,27.3,29.6,False
Li Ca La I O,273,63.5,2.8,1.0,22.5,24.4,False
Li La In Se F,273,54.6,24.7,0.0,12.0,12.2,False
Rb Li Y S N,273,28.8,59.6,2.0,27.8,30.0,False
Li Y Hf S F,273,42.9,22.4,1.0,18.9,20.2,False
Ba Li Ga Cl F,273,40.3,96.1,1.0,14.5,16.8,False
Li La Mo Se Br,273,1.1,51.2,3.0,16.4,16.6,False
Ba Li Sc I F,273,73.1,68.4,1.0,20.3,22.6,False
Li Hf Zr S N,273,28.8,1.2,0.0,17.7,16.2,False
Ba Li Gd Te Cl,273,24.0,38.6,1.0,24.6,26.6,False
Li Hf Te Mo O,273,64.3,9.7,2.0,15.0,13.4,False
Li Ge W Br F,273,52.9,0.4,2.0,9.0,7.0,True
Sr Li Te W S,273,21.8,72.2,4.0,18.5,20.4,False
Li Y Zn Te S,273,21.8,18.2,1.0,14.5,15.8,False
Li Sc Sb Te S,273,21.8,6.6,0.0,9.6,9.4,False
Li La Si I F,273,73.1,117.0,1.0,11.1,11.6,False
K Li Gd O F,273,5.9,41.4,2.0,25.1,27.4,True
Rb Sr Li Cl O,273,32.5,25.8,1.0,27.3,29.6,False
Li La Sb Te Se,273,12.5,41.2,0.0,11.4,12.8,False
Ba Li Sc Se I,273,12.0,68.4,1.0,19.6,21.6,False
Li Ta Sb Se N,273,39.4,1.2,2.0,10.0,8.8,False
Sr Li Ge I Br,273,13.2,71.4,2.0,12.6,14.8,False
Li Ta In I Cl,273,23.4,14.6,2.0,9.9,8.4,False
Li Sc Ti Te Se,273,12.5,3.9,1.0,16.6,15.2,False
Li Sc W Se Br,273,1.1,15.4,3.0,14.6,13.2,False
Cs Li Ta Br N,273,37.9,120.7,4.0,21.4,23.6,False
Li Sc Ta Cl F,273,40.3,7.9,2.0,16.5,15.4,False
Li Ca Mo Br N,273,37.9,47.1,4.0,19.4,21.2,False
Li Sc Ti I F,274,73.1,3.9,1.0,16.3,15.2,False
Cs Li Sb Te I,274,0.5,118.1,2.0,13.4,16.8,False
Li Sc Ti I F,274,73.1,3.9,1.0,16.3,15.2,False
Li Y Ti Se N,274,39.4,22.1,1.0,20.5,21.8,False
Li Hf Sn Se Cl,274,10.2,2.4,0.0,9.4,7.8,False
Li Hf P Se N,274,39.4,54.5,1.0,10.6,9.6,False
Li Hf Al Se Cl,274,10.2,25.9,1.0,10.4,8.8,False
Rb Li Mo Br O,274,44.4,114.2,5.0,18.9,21.2,False
Li Ta B Br F,274,52.9,100.0,2.0,9.3,8.0,True
Li Sc Ti I F,274,73.1,3.9,1.0,16.3,15.2,False
Li Ca Gd Te Se,274,12.5,6.0,1.0,24.8,26.6,False
Li La Y Te I,274,0.5,12.7,0.0,22.3,23.6,False
Cs Li Mg Te I,274,0.5,110.5,1.0,15.8,18.0,False
Li Sc Ti I Br,274,13.2,3.9,1.0,15.9,14.8,False
Rb Li Sn Br O,274,44.4,100.0,3.0,13.5,15.8,False
Li Nb Te Mo N,274,56.8,5.8,1.0,16.5,14.6,False
Li Zr Ti Te N,274,56.8,1.0,0.0,17.9,16.4,False
Li Ca Ta I F,274,73.1,39.0,3.0,19.3,21.4,False
Rb Li Zr Te Br,274,13.7,93.0,3.0,20.6,22.8,False
Li Gd Ti Te Cl,274,24.0,26.2,1.0,18.4,19.2,False
K Li Y Te Se,274,12.5,46.2,2.0,26.6,28.8,False
Li La Sc Te Cl,274,24.0,32.4,0.0,18.4,18.6,False
Cs Li Ti I Cl,274,23.4,112.5,3.0,20.5,23.0,False
Rb Li Zn Se N,274,39.4,88.6,1.0,17.4,19.6,True
Rb Li Ti Br O,274,44.4,94.9,3.0,19.9,22.2,False
Sr Li Ta S I,274,21.2,61.0,3.0,18.5,20.4,False
Sr Li Gd Se O,274,46.0,22.8,1.0,24.3,26.2,False
Li Y V Te F,274,73.9,33.8,2.0,18.5,19.8,False
K Li Mo I N,274,56.1,96.1,5.0,20.0,22.2,False
Li Gd Sn Te Cl,274,24.0,29.5,1.0,12.0,12.8,False
Li Mg Mo Br N,274,37.9,11.0,4.0,12.0,9.8,False
Ba Li Ta Br Cl,274,9.0,81.7,3.0,19.5,21.8,False
Rb Li W S F,274,42.9,116.5,5.0,19.0,21.2,True
Cs Li Gd Te S,274,21.8,68.4,2.0,25.8,28.0,False
Li Ge B N F,274,10.9,87.8,1.0,7.2,2.4,True
Cs Li Nb Se Cl,274,10.2,120.7,4.0,20.0,22.2,False
Li Hf Ti Se O,274,46.0,0.2,0.0,15.8,14.2,False
Li La Ga Se Cl,274,10.2,54.2,0.0,12.0,12.2,False
Li Ta Sn Se O,274,46.0,1.2,1.0,9.2,7.4,False
Li Ta Nb Se Br,274,1.1,0.0,0.0,15.0,13.2,False
K Li Gd S F,274,42.9,41.4,2.0,25.0,27.2,False
Li Sc Sb Se S,274,8.2,6.6,0.0,9.4,9.2,False
Rb Li Nb Se S,274,8.2,102.4,4.0,20.0,22.2,False
Rb Sr Li Se Br,274,1.1,25.8,1.0,27.2,29.4,False
Li Sc Nb Te Cl,274,24.0,7.9,2.0,15.8,14.4,False
Cs Li Al Se I,274,12.0,168.1,2.0,14.6,16.8,False
Rb Li Sn Te Se,274,12.5,100.0,3.0,14.4,16.6,False
Rb Li Se N Cl,274,39.4,,,13.4,16.2,True
Li Y Nb I N,274,56.1,26.8,2.0,19.3,20.6,False
Rb Li Nb Te S,274,21.8,102.4,4.0,20.2,22.4,False
Li Hf Zn Se S,275,8.2,3.5,2.0,11.4,9.8,False
Li Hf Sn Se O,275,46.0,2.4,0.0,9.4,7.8,False
Cs Li Sc S I,275,21.2,104.5,2.0,20.4,22.6,False
Li Y Ta Br N,275,37.9,26.8,2.0,19.7,21.0,False
Sr Li Sc Te Br,275,13.7,49.2,1.0,19.9,21.8,False
Li Al I Br Cl,275,23.4,,,7.1,5.2,True
Li In B I Cl,275,23.4,129.3,0.0,6.1,2.0,True
Sr Li Nb Te I,275,0.5,61.0,3.0,18.7,20.6,False
Li Sc V I N,275,56.1,13.8,2.0,16.4,15.0,False
Sr Li Y Te Se,275,12.5,26.9,1.0,25.9,27.8,False
Li Sc Ta Br O,275,44.4,7.9,2.0,15.5,14.2,False
Li Zr Sc I N,275,56.1,2.9,1.0,17.4,16.0,False
Ba Li Al Cl F,275,40.3,120.7,1.0,14.7,17.0,False
Li Gd Zr Se Cl,275,10.2,25.0,1.0,18.6,19.4,False
Li La B Te Br,275,13.7,185.9,0.0,10.8,11.2,False
Li La V Te N,275,56.8,50.7,2.0,19.0,19.2,False
Li Nb Mo Se F,275,54.6,5.8,1.0,14.7,12.8,False
Rb Li Sn Te O,275,64.3,100.0,3.0,14.0,16.2,False
Li Ti W Se F,275,54.6,11.1,2.0,14.7,13.0,False
Li La S I Br,275,21.2,,,10.7,13.4,False
Li Nb Al Br F,275,52.9,21.5,2.0,10.6,9.0,False
Rb Li Ti N Cl,275,26.5,94.9,3.0,21.6,23.8,False
Li Nb Te Mo F,275,73.9,5.8,1.0,14.9,13.0,False
Rb Li Sb Br Cl,275,9.0,100.0,2.0,13.7,17.4,False
Li Ta Mo Se I,275,12.0,5.8,1.0,14.2,12.4,False
Rb Li V Te I,275,0.5,113.5,4.0,19.4,21.6,False
K Li La Se F,275,54.6,29.7,2.0,24.0,26.2,False
Cs Li Ga S F,275,42.9,138.2,2.0,14.8,17.0,True
Sr Li Y Se F,275,54.6,26.9,1.0,25.5,27.4,False
Li Ca B Cl F,275,40.3,178.0,1.0,13.1,15.4,True
Li Hf P Br N,275,37.9,54.5,1.0,10.0,9.0,False
Li Hf V S Br,275,7.1,9.3,1.0,14.8,13.2,False
Li Hf Ti N F,275,10.9,0.2,0.0,17.4,15.8,False
Rb Li B S F,275,42.9,304.9,2.0,13.4,15.8,True
Cs Li Mo I O,275,63.5,133.5,5.0,18.9,21.2,False
Li Hf Si S I,275,21.2,57.4,0.0,8.4,6.8,False
K Li Y I Br,275,13.2,46.2,2.0,25.9,28.4,False
Li Gd B Cl O,275,32.5,162.2,0.0,11.3,12.4,True
Li Gd Ti Se N,275,39.4,26.2,1.0,20.0,20.8,False
Cs Li B Te F,276,73.9,341.5,2.0,14.0,16.4,True
Li Ca Al I Cl,276,23.4,68.9,1.0,13.9,16.0,False
Li Ca Ta Br F,276,52.9,39.0,3.0,19.5,21.6,False
Cs Li B Se F,276,54.6,341.5,2.0,13.8,16.2,True
Li Mg Te W Se,276,12.5,12.2,4.0,11.3,9.0,False
Li Mg Te W Se,276,12.5,12.2,4.0,11.3,9.0,False
Li Ta Zn S I,276,21.2,7.3,3.0,10.4,8.6,False
Li Sc Nb Te Se,276,12.5,7.9,2.0,16.2,14.8,False
Li Zr Sc Te Se,276,12.5,2.9,1.0,17.0,15.6,False
K Li Hf S N,276,28.8,78.8,3.0,21.8,24.0,False
Cs Li Ge Cl O,276,32.5,135.1,3.0,13.7,16.0,True
Sr Li Gd S Br,276,7.1,22.8,1.0,23.9,25.8,False
Li Y V Te S,276,21.8,33.8,2.0,18.5,19.8,False
Li In B Br Cl,276,9.0,129.3,0.0,6.3,2.2,True
Li Hf Br N O,276,44.4,,,8.7,7.8,True
Li Hf Mo Se O,276,46.0,9.7,2.0,14.8,13.2,False
Li Gd Mg Te N,276,56.8,25.0,1.0,15.8,16.6,False
Li Sc Mo Se S,276,8.2,14.2,3.0,15.2,13.8,False
Cs Li Ga Te Cl,276,24.0,138.2,2.0,15.0,17.2,False
Sr Li Sc Te F,276,73.9,49.2,1.0,20.3,22.2,False
Li Ca Br Cl F,276,52.9,,,13.9,18.2,True
K Li I Cl F,276,73.1,,,14.5,19.2,True
Li Sc Te Mo S,276,21.8,14.2,3.0,15.4,14.0,False
Li Ge Br N F,276,52.9,,,6.1,2.0,True
Li Zr V Se N,276,39.4,10.6,1.0,17.1,15.6,False
Li Ca In Br Cl,276,9.0,21.3,1.0,13.7,15.8,False
Li Y Ti Te I,276,0.5,22.1,1.0,18.5,19.8,False
Cs Li Sb Br F,276,52.9,118.1,2.0,14.1,17.8,False
Li Y Sc Te O,276,64.3,17.5,0.0,19.5,20.8,False
Cs Li In I O,276,63.5,92.6,2.0,14.1,16.4,True
Li La Ga S F,276,42.9,54.2,0.0,12.0,12.2,False
Cs Li Sb I Cl,276,23.4,118.1,2.0,13.7,17.4,False
Li Y Sc Te I,276,0.5,17.5,0.0,19.1,20.4,False
Li Ca Al Br F,276,52.9,68.9,1.0,14.3,16.4,False
Cs Li Te I Cl,276,24.0,,,13.7,18.0,False
Cs Sr Li I N,276,56.1,37.1,1.0,28.6,30.8,False
Cs Li Te Br F,276,73.9,,,14.1,18.4,True
Li Gd Zr Br N,276,37.9,25.0,1.0,19.8,20.6,False
Li Y Sc S N,276,28.8,17.5,0.0,20.9,22.2,False
Li Ca B Br Cl,277,9.0,178.0,1.0,12.7,15.0,True
Li La Ge S Br,277,7.1,52.2,1.0,10.6,10.8,False
K Li Ge N Cl,277,26.5,97.4,3.0,14.8,17.0,True
Li Sc Nb Se Cl,277,10.2,7.9,2.0,15.6,14.2,False
Li La Nb S Br,277,7.1,42.9,2.0,16.8,17.0,False
Li La In Se Br,277,1.1,24.7,0.0,11.6,11.8,False
Li Hf Sc O F,277,5.9,4.1,1.0,16.3,15.0,False
Li Y Te Mo Se,277,12.5,34.2,3.0,18.3,19.6,False
Ba Li Ta Te Br,277,13.7,81.7,3.0,19.2,21.2,False
Li Al Ga I Cl,277,23.4,12.6,0.0,7.5,3.4,False
Li In I Br Cl,277,23.4,,,6.9,4.8,False
Cs Li Te Mo Se,277,12.5,133.5,5.0,20.0,22.2,False
Rb Li Te Se N,277,56.8,,,14.0,16.8,False
Li Ta Nb Br Cl,277,9.0,0.0,0.0,15.5,14.0,False
Sr Li Y Se S,277,8.2,26.9,1.0,25.5,27.4,False
Li Sc V Te N,277,56.8,13.8,2.0,17.4,16.0,False
Li Y Sc Se N,277,39.4,17.5,0.0,21.1,22.4,False
Li Gd Te Mo S,277,21.8,38.7,3.0,17.6,18.4,False
Li Ca Nb I Cl,277,23.4,39.0,3.0,18.9,21.0,False
Li La B Se Br,277,1.1,185.9,0.0,10.6,11.0,False
Li La Ge S F,277,42.9,52.2,1.0,11.0,11.2,False
Li In I N F,277,73.1,,,6.3,2.6,True
Li Ta Te P F,277,73.9,49.1,0.0,9.2,8.2,False
Li Sc V Te N,277,56.8,13.8,2.0,17.4,16.0,False
Rb Li Zr Se O,277,46.0,93.0,3.0,20.6,22.8,False
Li Ca La Se Br,277,1.1,2.8,1.0,22.8,24.6,False
Li Ca La Te Br,277,13.7,2.8,1.0,23.0,24.8,False
Ba Li Gd Te Se,277,12.5,38.6,1.0,25.0,27.0,False
Li La V Br F,277,52.9,50.7,2.0,17.5,18.0,False
Cs Sr Li Te S,277,21.8,37.1,1.0,28.0,30.2,False
Li Gd Zn Se F,277,54.6,22.2,1.0,13.8,14.6,False
Ba Li La Te Br,277,13.7,27.1,1.0,23.2,25.2,False
Li La In Te Br,277,13.7,24.7,0.0,11.8,12.0,False
Rb Li Ti N O,277,4.8,94.9,3.0,21.6,23.8,False
Li La Mg Br N,277,37.9,36.3,1.0,14.4,14.6,False
Cs Ba Li N F,277,10.9,21.5,1.0,29.4,31.6,False
Sr Li Y Se S,277,8.2,26.9,1.0,25.5,27.4,False
Cs Li Al Se Br,277,1.1,168.1,2.0,14.8,17.0,False
K Li Sc I Cl,277,23.4,71.8,2.0,20.7,23.2,False
Sr Li Ti Se N,277,39.4,55.0,2.0,21.1,23.0,False
Rb Li S Br F,277,52.9,,,13.9,18.6,True
Sr Li Te W O,278,64.3,72.2,4.0,18.3,20.2,False
Cs Li Mg Se I,278,12.0,110.5,1.0,15.6,17.8,False
Li Sc Sb Se I,278,12.0,6.6,0.0,8.8,8.6,False
Li Sc Ga I Cl,278,23.4,16.4,0.0,10.5,9.4,False
Li Sc W S F,278,42.9,15.4,3.0,14.8,13.4,False
K Li In Br F,278,52.9,61.7,2.0,14.7,17.2,True
Li Sc W Se F,278,54.6,15.4,3.0,15.0,13.6,False
Rb Li Sn Se N,278,39.4,100.0,3.0,15.6,17.8,False
Rb Li W S O,278,34.9,116.5,5.0,18.8,21.0,True
Cs Li Y Te Br,278,13.7,74.0,2.0,26.4,28.6,False
K Li La S I,278,21.2,29.7,2.0,23.2,25.4,False
Li Sc Sb Te I,278,0.5,6.6,0.0,9.0,8.8,False
Rb Li B Se Cl,278,10.2,304.9,2.0,13.4,15.8,False
Li Hf Te Se S,278,21.8,,,9.2,9.4,False
Li Ta V N F,278,10.9,5.5,0.0,16.6,14.8,False
Li Sc Ge I Br,278,13.2,14.9,1.0,9.3,8.2,False
Li Y Zr Se F,278,54.6,20.9,1.0,19.3,20.6,False
Rb Li B Te Cl,278,24.0,304.9,2.0,13.6,16.0,True
Rb Li Te Br Cl,278,24.0,,,13.7,18.0,True
Li Ta Nb Se F,278,54.6,0.0,0.0,15.4,13.6,False
K Li Hf Te S,278,21.8,78.8,3.0,20.6,22.8,False
Li Y Zn Te I,278,0.5,18.2,1.0,13.9,15.2,False
Li Gd Nb Cl O,278,32.5,31.1,2.0,17.7,18.6,False
Ba Li Ta I F,278,73.1,81.7,3.0,19.5,21.8,False
Li Nb V I Br,278,13.2,5.5,0.0,14.8,13.2,False
Cs Li Zn Te I,278,0.5,105.7,1.0,15.6,17.8,False
Li Hf In S N,278,28.8,10.6,1.0,11.6,10.0,False
Li Sc Sb Te O,278,64.3,6.6,0.0,9.4,9.2,False
Li B I Cl F,278,73.1,,,7.0,4.8,True
Ba Li La Se Br,278,1.1,27.1,1.0,23.0,25.0,False
Sr Li Mo I Br,278,13.2,70.3,4.0,18.2,20.4,False
Li Hf Si Te F,278,73.9,57.4,0.0,9.4,7.8,False
Li Mg Mo I F,278,73.1,11.0,4.0,11.1,9.2,False
Li Ca Hf Se N,278,39.4,34.1,2.0,21.2,23.0,False
Sr Li Sc Br N,278,37.9,49.2,1.0,21.1,23.0,False
Li La Mo I O,278,63.5,51.2,3.0,16.1,16.4,False
K Li Hf Se S,278,8.2,78.8,3.0,20.4,22.6,False
Li Nb Mo S I,278,21.2,5.8,1.0,13.9,12.0,False
Li Y Ta Br F,278,52.9,26.8,2.0,19.0,20.6,False
Li B Mo Br N,278,37.9,89.0,3.0,9.6,7.6,True
Cs Li Sb Se I,278,12.0,118.1,2.0,13.2,16.6,False
Cs Li Te W F,278,73.9,136.1,5.0,19.6,21.8,False
Ba Li B N F,279,10.9,263.4,1.0,14.2,16.4,True
Sr Li La Br Cl,279,9.0,12.6,1.0,23.4,25.6,False
Rb Li Y Se Br,279,1.1,59.6,2.0,26.0,28.2,False
Rb Li Ti Te F,279,73.9,94.9,3.0,20.6,22.8,False
Rb Sr Li S N,279,28.8,25.8,1.0,29.0,31.2,False
Li Gd Al N F,279,10.9,59.3,0.0,14.4,15.2,False
Li Gd Te Se F,279,73.9,,,11.6,14.2,True
Li Hf Mg Cl O,279,32.5,1.2,2.0,11.3,9.8,False
Li Gd Si Se S,279,8.2,99.1,1.0,11.6,12.4,False
Li Hf Ti Se Cl,279,10.2,0.2,0.0,15.8,14.2,False
Li Ta Al I Br,279,13.2,21.5,2.0,10.1,8.6,False
Li Nb W Br N,279,37.9,7.0,1.0,15.5,13.6,False
Li Hf V S N,279,28.8,9.3,1.0,16.8,15.2,False
Li Sc Ta N Cl,279,26.5,7.9,2.0,17.2,15.8,False
Li Sc B I Br,279,13.2,115.9,0.0,9.1,8.2,False
Sr Li Sc Te S,279,21.8,49.2,1.0,20.3,22.2,False
Li Ta Te P S,279,21.8,49.1,0.0,9.2,8.2,False
Li Sc Sb Se O,279,46.0,6.6,0.0,9.2,9.0,False
Li Nb W Se I,279,12.0,7.0,1.0,13.9,12.0,False
Rb Li Zn N O,279,4.8,88.6,1.0,17.0,19.2,True
Li La Si I Br,279,13.2,117.0,1.0,10.7,11.2,False
Ba Li Mo Br Cl,279,9.0,92.3,4.0,18.7,21.0,False
Li Hf V N Cl,279,26.5,9.3,1.0,16.6,15.0,False
Sr Li Te W I,279,0.5,72.2,4.0,17.9,19.8,False
Li Zr W I N,279,56.1,12.2,2.0,15.7,14.2,False
Li Zr Nb I F,279,73.1,4.9,1.0,15.8,14.6,False
Cs Li Se I Cl,279,23.4,,,13.7,18.2,False
Cs Li Se I Cl,279,23.4,,,13.7,18.2,False
Rb Li Se Br Cl,279,10.2,,,13.7,18.2,True
Ba Sr Li I Br,279,13.2,12.9,0.0,26.5,28.8,False
Li Gd V Se Cl,279,10.2,38.3,2.0,17.6,18.4,False
Cs Li Se Br F,279,54.6,,,14.1,18.6,True
Cs Li Se Br F,279,54.6,,,14.1,18.6,True
Li Ge Mo Cl F,279,40.3,0.6,2.0,9.3,7.4,True
Li Ca Sc I Br,279,13.2,28.8,1.0,19.7,21.8,False
Li Nb Ga I O,279,63.5,7.9,2.0,9.4,7.6,False
Ba Li I Cl F,279,73.1,,,13.9,18.4,True
Li Gd Y Se Cl,280,10.2,3.4,0.0,23.7,25.0,False
Rb Li P S Br,280,7.1,201.8,4.0,13.0,16.0,False
K Li Sc Se I,280,12.0,71.8,2.0,20.2,22.4,False
Li Sb Te W N,280,56.8,8.3,3.0,9.7,8.0,False
Cs Li In S I,280,21.2,92.6,2.0,14.0,16.2,False
Li Ge B Br Cl,280,9.0,87.8,1.0,5.9,1.4,True
Sr Li Y Se I,280,12.0,26.9,1.0,24.9,26.8,False
Ba Li Mo Br F,280,52.9,92.3,4.0,18.9,21.2,False
K Li Sc Te I,280,0.5,71.8,2.0,20.4,22.6,False
Rb Ba Li Te Cl,280,24.0,11.4,1.0,27.8,30.0,False
Li V Te W Cl,280,24.0,1.4,1.0,14.4,12.4,False
Rb Li Ge Te O,280,64.3,115.6,3.0,13.8,16.0,False
Li La Sc Se Cl,280,10.2,32.4,0.0,18.2,18.4,False
Li Hf Si Te Br,280,13.7,57.4,0.0,9.0,7.4,False
Li La Mg I Cl,280,23.4,36.3,1.0,13.3,13.8,False
Li Al Ga Br F,280,52.9,12.6,0.0,7.9,3.8,True
Li Nb Te Mo Br,280,13.7,5.8,1.0,14.5,12.6,False
Li Ti W Se Br,280,1.1,11.1,2.0,14.3,12.6,False
Li Sc W S O,280,34.9,15.4,3.0,14.6,13.2,False
Li In Ga Br Cl,280,9.0,23.7,0.0,7.4,3.2,False
Li Hf Sb N F,280,10.9,2.4,1.0,10.0,9.0,True
Li Gd Zn Se Br,280,1.1,22.2,1.0,13.4,14.2,False
Li Ta Te I Cl,280,24.0,,,8.9,9.2,False
Li La Sc Cl F,280,40.3,32.4,0.0,18.9,19.4,False
Sr Li W Se Cl,280,10.2,72.2,4.0,18.1,20.0,False
Li Ta Mo I Cl,280,23.4,5.8,1.0,14.7,13.2,False
K Li Ca Br N,280,37.9,33.3,1.0,28.2,30.4,False
Cs Li Te W N,280,56.8,136.1,5.0,21.2,23.4,False
Rb Li Sn N Cl,280,26.5,100.0,3.0,15.2,17.4,False
Li La Ta Se F,280,54.6,42.9,2.0,17.6,17.8,False
Li Y V Te I,280,0.5,33.8,2.0,17.9,19.2,False
Ba Li Ta Br F,280,52.9,81.7,3.0,19.7,22.0,False
Li Ca Hf O F,280,5.9,34.1,2.0,19.5,21.4,False
Li Ti V Te N,280,56.8,9.5,1.0,17.1,15.4,False
Li Nb Mo Se N,280,39.4,5.8,1.0,16.3,14.4,False
Li Y Ga I Br,280,13.2,36.8,0.0,13.0,14.6,False
Li Ca Ge Br Cl,280,9.0,48.1,2.0,12.9,15.0,False
Rb Li Ti Te I,280,0.5,94.9,3.0,20.0,22.2,False
