phases,pareto_magpie_mat2vec,anion radii diff %,cation radii diff %,cation charge diff,distance from LSSI,distance from LSGSI,Predicted_Order?
Li Ge P S O,12,34.9,40.0,1.0,5.4,1.2,False
Ba Li P O F,12,5.9,170.9,3.0,12.7,15.6,True
Li Sb P Cl F,12,40.3,50.9,2.0,7.0,3.8,True
Li Sn Br Cl O,12,44.4,,,6.2,3.8,True
Li Zn P S Br,12,7.1,60.0,3.0,6.2,3.0,False
Li Ca Zn O F,12,5.9,29.5,0.0,14.7,16.6,False
Li Al P Br O,12,44.4,22.7,2.0,5.9,2.4,True
Li Ga P Se S,12,8.2,38.2,2.0,6.3,2.6,False
Li In P Cl O,12,32.5,70.9,2.0,5.9,2.2,True
Li Zn P Br Cl,12,9.0,60.0,3.0,6.9,4.0,True
Li In Sn S O,13,34.9,13.3,1.0,6.2,1.6,False
Li Sn B S Cl,13,1.8,102.4,1.0,5.5,0.8,True
Li Ga Te P S,13,21.8,38.2,2.0,6.5,2.8,False
Li Si S O F,13,42.9,,,5.6,3.2,True
Li Ca Zn S O,13,34.9,29.5,0.0,14.4,16.2,False
Li B S N O,13,34.9,,,5.5,1.4,True
Li Si B O F,13,5.9,31.7,1.0,5.6,1.2,True
Li Mg Zn Cl O,13,32.5,2.3,0.0,8.8,5.0,False
Li Zr Al S O,13,34.9,27.4,1.0,10.3,8.8,False
Ba Li Zn O F,13,5.9,69.3,0.0,14.9,17.0,False
Li Zr Al N O,13,4.8,27.4,1.0,11.9,10.4,False
Li Sn Ge S O,13,34.9,7.8,0.0,5.7,0.8,False
Li Y Al O F,13,5.9,54.1,0.0,13.4,14.8,False
Li Ti Al S Cl,13,1.8,26.2,1.0,10.1,8.4,False
Li In Sb N O,13,4.8,13.3,0.0,6.8,2.8,True
K Li In S O,13,34.9,61.7,2.0,14.0,16.2,True
Li Te P Br Cl,13,24.0,,,6.6,4.0,False
Ba Li Se Cl O,13,46.0,,,12.5,16.6,True
Li Al In Te O,13,64.3,39.3,0.0,7.4,3.0,False
Ba Li Ti N O,13,4.8,75.0,2.0,20.8,22.8,False
Li Zr Al O F,13,5.9,27.4,1.0,10.6,9.2,False
Li Sn S Br O,13,44.4,,,5.4,2.8,True
Li Al Se S F,13,54.6,,,6.2,3.8,True
Ba Li Ti O F,13,5.9,75.0,2.0,19.5,21.6,False
Li P S Cl F,13,42.9,,,7.0,4.8,True
Li P S Br O,13,44.4,,,6.0,3.6,True
Li Zn Si S Cl,13,1.8,63.0,2.0,6.4,2.4,False
Li Al Zn S F,13,42.9,30.4,1.0,8.0,4.0,False
Li Sb P Br O,14,44.4,50.9,2.0,6.0,2.6,False
Li Ca Sn Cl O,14,32.5,37.3,2.0,12.7,14.6,False
Li Mg Sb S Cl,14,1.8,3.6,1.0,6.5,3.8,False
Li Sn P S Br,14,7.1,50.9,1.0,5.3,1.2,False
Li Sn P Br Cl,14,9.0,50.9,1.0,6.0,2.2,True
Li Y Al N O,14,4.8,54.1,0.0,14.7,16.0,False
Li Ca P N O,14,4.8,107.3,3.0,13.6,16.0,False
Li Mg Te Cl O,14,64.3,,,6.6,4.6,False
Li Si P Cl F,14,40.3,1.9,1.0,6.2,2.6,False
Li Zn In Cl O,14,32.5,6.8,1.0,7.5,3.6,True
Ba Li Sn Cl O,14,32.5,79.5,2.0,12.9,15.0,True
Li Mg Al Te O,14,64.3,27.4,1.0,8.3,4.4,False
Li Al Te S F,14,73.9,,,6.2,3.6,True
Li Ti In N O,14,4.8,10.4,1.0,11.3,9.6,False
Ba Li Zn N O,14,4.8,69.3,0.0,16.2,18.2,True
Li Mg Al Se O,14,46.0,27.4,1.0,8.1,4.2,False
Li Sn B Cl O,14,32.5,102.4,1.0,5.6,1.0,True
Li Ti In S O,14,34.9,10.4,1.0,9.7,8.0,False
Li Zr Cl O F,14,40.3,,,10.0,11.0,True
Li Sn S Cl F,14,42.9,,,6.4,4.0,True
Li Ca Zn S Cl,14,1.8,29.5,0.0,14.4,16.2,False
Li Ca P S O,14,34.9,107.3,3.0,12.2,14.8,False
Li Zn Ga S O,14,34.9,15.8,1.0,7.6,3.6,False
Li Si N O F,14,10.9,,,5.6,1.6,True
Li Si Te S Cl,15,24.0,,,5.3,2.4,False
Li Ca Zn N O,15,4.8,29.5,0.0,16.0,17.8,False
