vectors,scores,scaled
C N In I Eu,13.367,0.411
O Cl Se Cs La,15.63,0.61
N O Na P Ti,11.526,0.25
O Cu Br Sr Te,11.42,0.24
C O F S Ca,11.063,0.209
C O F S Cu,10.933,0.198
C O F S Zn,10.529,0.162
C O F Mg S,10.401,0.151
C O F S Ba,12.522,0.337
Be O Na Si Cl,10.166,0.131
B C N F K,14.373,0.499
C O F Na Yb,13.13,0.39
N S Cl Fe Te,13.805,0.45
B O Al Cl Ba,11.595,0.256
B O Cl Ga Ba,11.68,0.263
O F P K Ti,12.978,0.377
O S Nb I La,12.388,0.325
O Cl Nb Cs La,16.523,0.688
O Cl Rb Nb La,15.297,0.58
O Cl Cu Se Sr,10.574,0.166
Al Cl Br Sb Te,9.576,0.079
Al Cl Br Te Bi,11.627,0.259
N O Al La Eu,13.19,0.396
O F P Ca Pb,12.076,0.298
Li O F S Ni,10.658,0.174
N O Si Ba Eu,13.478,0.421
O P Cl As Pb,10.72,0.179
Li N O La Ta,14.603,0.52
O F Mn Se Ba,12.263,0.314
Li O F P Co,12.799,0.361
C O F S Ag,10.967,0.201
F S Ca Y Ce,15.819,0.626
F S Sr Y Ce,16.279,0.667
Li B C O F,12.094,0.3
N O Si Y Ce,15.686,0.615
O F Fe Co Sr,16.256,0.665
N O Al Si Ba,11.933,0.285
N O Na Mg P,10.868,0.192
N O Si Sr Eu,12.728,0.355
N O Si Ca Ba,12.451,0.331
O Na Cl Cu Se,10.417,0.152
N O Na P V,11.531,0.25
O Cl Se Nb Pb,12.07,0.297
O Cl Cu Se Pb,11.366,0.236
O Cl Cu Te Pb,11.727,0.267
O F Fe Sr La,15.757,0.621
N O Al Ca Gd,13.26,0.402
O F Na S Mn,11.276,0.228
O Na S Cl Mn,10.614,0.17
O Na S Cl Fe,13.851,0.454
O F Si Rb Lu,15.248,0.576
O F Mg P Fe,13.425,0.416
O F S Nd Bi,13.741,0.444
Be B O F Ca,10.961,0.2
O F Zr In Ba,12.796,0.361
O F Si K Eu,13.94,0.461
N O Si Ca Ce,15.233,0.575
O F Na P Co,12.824,0.364
N O Mg P Sr,11.019,0.205
C O F P Ba,12.505,0.336
N O Na Ga Ge,11.053,0.208
O F Cl K V,12.993,0.378
O F Cl K Mo,13.529,0.425
O F K Br Nb,13.861,0.455
O Cl Mn Pb Bi,13.518,0.424
O Cl Te I Bi,11.987,0.29
O F Te Xe Hg,16.179,0.658
O F Kr Te Hg,15.504,0.599
O S Cu Y Te,10.934,0.198
O S Cu Te Nd,12.089,0.299
O S Cu Te Sm,11.506,0.248
