Phase fields     scores        Norm. score
Br F S Sb        8.720528170182268 0.17264068984117406
I Mn Sb Se       8.720873045893688 0.17267014948100376
F O P Sb          8.72730121346567 0.17321925020095716
Ag S Sn Te        8.73261943310723 0.17367353802114047
Cl Ge O Pb       8.733863555145463 0.17377981221191943
Cl F Ge O         8.73676276475421 0.17402746569413352
N P Se Zn        8.743857333605872 0.1746334911003765
Br Cu P S        8.751658080217014 0.17529983894093706
Br S S V         8.767786697256133 0.17667756208347538
I Pb S Sb        8.768578052129614 0.17674516043493402
Cl Ho O Se       8.770634500669638 0.17692082439534396
Bi In S Te        8.77145821993369 0.1769911873465063
F I S Sb         8.771465787654112 0.17699183378900915
Dy O Se Si        8.77280862498353 0.17710654034202078
Bi Ni S Te       8.781812496345536 0.17787566034268654
Ag O S Si        8.786305614122032 0.1782594671085005
Cl Hg P Sn       8.787019698414886 0.1783204649270729
Ca O P Se        8.790610250493115 0.1786271735977962
F O S Te          8.79089198978803 0.17865124005965205
Ag I S Sb        8.794029313085566 0.17891923345934457
Al Bi Cl Te      8.795886217935838 0.17907785219147107
Cu I P S         8.802415557679147 0.17963559514289917
O S Si Tm         8.80588287000192 0.17993177654629602
Bi Cl In S       8.808685284064097 0.18017116165284744
Ag O S Te        8.813405781622725 0.18057439143473408
As Cd Cr Se      8.819233169962908 0.1810721729715735
Cu I S Sb        8.821873450000028 0.18129770842207737
Br Cu S Si       8.823474473108925 0.18143446947130523
Cl O Pb S        8.825167879313513 0.1815791219800801
Ag O P Te        8.829401576528452 0.18194076877331541
Cl O Se Yb       8.834826643520584 0.18240418360465196
Cl Dy O Se        8.83705739638592 0.18259473682074043
Cl O P Pb         8.84114239372544 0.18294368151687945
As Br Hg Sn      8.845789146704055 0.18334061196049856
Br Cu S Te       8.850460830058138 0.1837396719825649
Ag Cl In S       8.851902214046047 0.18386279649303014
Cl Hg In S        8.85282881152545 0.18394194740771141
Er O S Si        8.858368143389216 0.18441512286251957
Cl O Pb Sb       8.860515241444638 0.1845985301982559
Cl F O Sb        8.863373023379433 0.18484264488572946
Cl Hg O P        8.867310442766177 0.1851789833205649
Cl Hg In P       8.868753502845665 0.18530225100450606
Bi Br Cd S       8.869581012499278 0.18537293773466332
Cu I S Si         8.87382117662109 0.18573513693777022
