phases,pareto_cgcnn_mat2vec,anion radii diff %,distance from LSSI,Predicted_Order?
Li Mg Se Te     ,29,12.5,4.5,False
Br Li Mo Te     ,29,13.7,8.0,False
F In Li Te      ,29,73.9,2.5,True
F Li S V        ,29,42.9,8.5,True
F K Li S        ,30,42.9,19.5,True
Cl F Li Mg      ,30,40.3,5.0,True
Br Li O Ta      ,30,44.4,8.75,True
Br Ce Li N      ,30,37.9,15.75,True
Gd Li N Te      ,30,56.8,18.0,True
Al Br F Li      ,30,52.9,3.5,True
Ba F Li S       ,30,42.9,18.5,True
F Ga Li S       ,30,42.9,2.25,True
I Li P Te       ,30,0.5,1.5,False
Br Li Nb S      ,30,7.1,8.25,True
I Li Nb O       ,30,63.5,8.25,True
Ca Cl Li Se     ,30,10.2,18.0,True
Br Li Mg Se     ,30,1.1,3.5,True
I Li S Ti       ,30,21.2,8.5,False
I In Li N       ,30,56.1,3.25,True
Li Mo N Te      ,30,56.8,10.5,True
Cl Ga Li N      ,30,26.5,4.0,True
Li N Se W       ,30,39.4,10.0,True
Cl I In Li      ,31,23.4,2.5,True
Cl Li Nb Te     ,31,24.0,9.0,True
Br F In Li      ,31,52.9,3.0,True
Cl F Li Ti      ,31,40.3,10.5,True
Br Ge Li N      ,31,37.9,2.5,True
Br I Li P       ,31,13.2,2.0,False
Br Gd Li N      ,31,37.9,17.0,True
Br Li Se V      ,31,1.1,8.25,False
Li Se Te Zn     ,31,12.5,4.25,False
Li Se Te V      ,31,12.5,9.25,False
F Li S Y        ,31,42.9,16.75,True
Gd I Li O       ,31,63.5,15.0,True
Br Ca Li S      ,31,7.1,17.5,True
K Li N Se       ,31,39.4,21.75,True
F Li S Zr       ,31,42.9,9.75,True
Br Li Mg Te     ,31,13.7,3.75,False
I Li N Zn       ,31,56.1,4.75,True
Li Mg N Se      ,31,39.4,6.0,True
Hf Li N O       ,32,4.8,11.25,True
Cl K Li Se      ,32,10.2,19.5,True
Cl F Li V       ,32,40.3,9.75,True
Cl F Ga Li      ,32,40.3,3.5,True
Br Cl Li Nb     ,32,9.0,9.5,True
F Li Mo Se      ,32,54.6,8.25,True
B Br Li S       ,32,7.1,0.5,True
B Cl Li Se      ,32,10.2,1.0,True
Ba Li N Se      ,32,39.4,20.75,True
Cs Li O Se      ,32,46.0,20.0,True
F Li Se W       ,32,54.6,8.0,True
I Li S Sn       ,32,21.2,0.5,False
Br K Li S       ,32,7.1,19.0,True
Ca Cl Li Te     ,32,24.0,18.25,True
Cs Li N S       ,32,28.8,22.0,True
K Li N Te       ,32,56.8,22.0,True
Cl I Li Zn      ,32,23.4,4.0,True
Li N Te W       ,32,56.8,10.25,True
I Li Sb Se      ,32,12.0,1.75,False
Ce F Li N       ,33,10.9,16.25,True
Br Li Te V      ,33,13.7,8.5,True
B Cl Li Te      ,33,24.0,1.25,True
Li N Se V       ,33,39.4,10.75,True
F Li Te W       ,33,73.9,8.25,True
Ba Li N Te      ,33,56.8,21.0,True
Br Li O Sr      ,33,44.4,18.0,True
Br Ca Cl Li     ,33,9.0,18.75,True
F Li Mo Te      ,33,73.9,8.5,True
F Li Nb S       ,33,42.9,8.75,True
F K Li N        ,33,10.9,21.5,True
