phases,magpie,mat2vec,pareto_magpie_mat2vec,anion radii diff %,cation radii diff %,cation charge diff,distance from LSSI,distance from LSGSI,Predicted_Order?
Li Ca Mg S O,0.11,0.157,18,34.9,32.6,0.0,14.6,16.4,False
Ba Li Te N O,0.209,0.105,18,64.3,,,12.8,15.4,True
Li Si Sn S Cl,0.051,0.34,18,1.8,53.7,0.0,5.5,0.6,False
Li Mg P Se Cl,0.044,0.384,18,10.2,56.4,3.0,6.7,3.6,False
Ba Li P S O,0.146,0.136,18,34.9,170.9,3.0,12.4,15.2,True
Li Zn N O F,0.156,0.135,18,10.9,,,6.7,3.4,True
Li Ca Sn S O,0.083,0.195,18,34.9,37.3,2.0,12.6,14.4,False
Li Si Se S Cl,0.05,0.343,18,10.2,,,5.3,2.6,False
Li In Sn N O,0.133,0.143,18,4.8,13.3,1.0,7.8,3.2,False
Li Si Ge S Cl,0.049,0.356,18,1.8,42.6,0.0,5.4,0.4,False
Li Ti Br Cl O,0.104,0.162,18,44.4,,,9.4,10.2,True
Li Si S I O,0.067,0.233,18,63.5,,,5.0,2.6,True
Li Zr Al S Cl,0.079,0.209,18,1.8,27.4,1.0,10.3,8.8,False
Li Si Ge Te S,0.042,0.496,18,21.8,42.6,0.0,6.0,1.0,False
