element,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
Ge,3.0873296,29.978197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8635414,4.5777583,0.0,0.0,0.0,0.0,30.9065,0.0,11.315832,0.0,0.0,0.0,2.5905542,12.477535,8.698549,0.0,0.0,0.0,0.18739222,0.0,0.0,21.799368,0.0,0.0,0.0,0.0,0.0,0.0,1.555788,13.326398,0.0,0.0,0.0,15.688202,2.255437,0.0,0.0,0.0,7.4905915,28.06142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,0.0,34.16746,0.0,0.0,1.8690159,2.6815119,0.0,0.0,0.0,0.0,10.350249,10.861093,0.0,0.0,0.0,0.0,39.191856,0.0,15.599617,0.0,0.0,0.0,0.0,17.867376,11.69406,0.0,0.0,0.0,0.0,7.084231,0.0,18.844908,0.0,0.0,5.2237735,0.0,0.0,0.0,0.32296062,0.0,0.0,0.0,0.0,0.0,1.5070873,0.0,0.0,2.0175855,5.142342,2.8128605,0.0,3.4027977,0.0,4.0093017,0.0,0.0,0.0,0.0,0.0
Se,8.069798,18.730663,0.0,0.0,0.0,8.184357,0.0,0.0,0.0,0.0,15.532786,3.268431,1.5002874,0.0,0.0,0.0,44.23384,0.0,20.852762,0.0,0.0,0.0,5.645649,16.29749,17.466064,0.0,0.0,0.0,5.393416,17.348822,0.0,8.58653,0.0,0.0,7.1826982,0.0,0.0,0.0,0.0,15.287359,0.0,0.0,0.0,8.757662,14.267094,0.0,0.0,0.0,1.4608359,11.641006,0.0,5.9502225,0.0,12.2307625,0.0,0.0,0.0,0.0,0.0
Br,7.529114,14.346422,0.0,0.0,0.0,15.967543,0.0,0.0,0.0,0.0,4.2364273,18.119022,5.030499,0.0,0.0,0.0,37.14622,0.0,6.331536,0.0,0.0,0.0,7.2622185,9.340698,13.826285,0.0,0.0,0.0,5.6912885,9.071431,0.0,22.183441,0.0,0.0,12.567041,0.0,0.0,0.0,0.01722636,13.90694,0.0,0.0,0.0,0.341894,15.371546,0.0,0.0,1.7627175,0.0,0.0,0.0,0.0,0.0,5.491313,0.0,0.0,0.0,0.0,0.0
Kr,0.0,5.2718434,0.3708303,0.466556,4.24161,0.0,1.1243742,0.8575388,0.8530722,1.5924436,0.0,0.0,0.0,1.0448334,1.0759354,0.0,0.0,0.8747345,0.0,9.061849,1.5795424,0.4355473,0.0,3.0189226,0.0,1.9621391,1.457701,13.700457,0.0,0.0,1.0234395,2.9032204,0.0,0.69335556,0.5650696,0.0,0.0,0.0,0.0,0.0,0.0,0.6532209,0.0,0.0,0.0,4.308055,0.0,3.8377428,0.0,0.0,0.0,0.0,0.09676934,0.0,1.1200076,0.6755008,0.0,0.41627878,1.6594905
Rb,7.567001,16.751104,1.7297461,0.0,0.0,19.008673,0.0,0.0,0.0,0.0,0.0,22.15807,0.0,0.0,0.0,0.0,14.514628,0.0,0.0,0.0,0.0,0.0,1.5568368,16.050991,10.926492,0.0,0.0,0.0,3.5142388,0.0,0.0,22.275545,0.0,0.0,11.76311,0.0,0.0,0.0,0.0,11.194574,0.0,0.0,0.0,0.0,5.9388003,0.0,0.7611802,0.5992787,2.1700115,4.7154217,0.0,0.0,0.0,0.97657853,0.0,0.0,0.0,0.0,0.0
Sr,14.000576,6.716508,0.0,0.0,0.0,23.12699,0.0,0.0,0.0,0.0,0.0,11.507041,0.0,0.0,0.0,0.0,2.2501526,0.0,0.28463507,0.0,0.0,0.0,2.089784,25.57678,13.420752,0.0,0.0,0.0,7.6704645,2.4139588,0.0,6.2211633,0.0,0.0,10.499839,0.0,0.0,0.0,0.0,20.286808,0.0,0.0,0.0,4.4213867,9.653743,0.0,0.0,0.0,11.365039,17.040932,0.0,0.0,0.0,10.027209,0.0,0.0,0.0,0.0,0.0
Y,5.830102,0.8685243,5.152714,0.0,0.013114328,18.063496,0.0,0.0,0.0,0.0,1.6301842,12.427007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.67696,4.1339536,0.0,0.0,0.0,3.0337214,2.139947,0.0,0.0,0.0,0.0,11.702176,4.322672,2.056352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2139143,1.9847087,17.64488,0.0,0.0,2.8110435,0.0,5.8184247,0.0,0.0,0.0,8.682593,0.0
Zr,1.2355989,0.8738457,1.730906,0.0,2.0133548,8.133429,0.0,0.0,0.0,0.0,4.138526,5.2872586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.966967,0.44462243,0.0,0.0,0.0,0.0,2.8243027,0.0,0.0,0.0,0.0,5.4010453,5.2072964,3.5742524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3517957,22.478893,0.0,0.0,11.561681,0.0,2.6153073,0.0,0.0,0.0,5.80884,0.0
Nb,3.1212327,4.2104383,0.0,0.0,0.97398347,10.387513,0.0,0.0,0.0,0.0,14.124087,0.0,0.0,0.0,0.0,0.0,8.09458,0.0,15.436362,0.0,0.0,0.0,0.0,29.390535,9.982256,0.0,0.0,0.0,2.9749527,16.433107,0.0,0.0,0.0,0.0,7.4711804,2.8244886,0.8015376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.082004,0.0,0.0,0.0,18.13105,0.29456854,0.0,23.030201,0.0,12.749588,0.0,0.0,0.0,0.0,0.0
