Phase fields,     scores,     Norm. scores,
Bi Ga S Te      ,  8.606,    0.182,
Cl N S Sb       ,  8.611,    0.182,
Cl O S Zr       ,  8.612,    0.182,
Al Bi Cl S      ,  8.614,    0.182,
B I P S         ,  8.614,    0.182,
As Cr Cu Se     ,  8.616,    0.183,
Cd N P S        ,   8.62,    0.183,
N P S Zn        ,   8.62,    0.183,
Cl Hg In S      ,  8.624,    0.183,
As Br Hg Sn     ,  8.625,    0.183,
Cl Cu Hg Se     ,  8.627,    0.183,
Cl Mo S S       ,  8.627,    0.183,
B Cl O Zn       ,  8.634,    0.184,
Cl Ge O Pb      ,  8.636,    0.184,
Cl Hg In P      ,  8.638,    0.184,
Br C Se Se      ,  8.641,    0.184,
F Ge Mg O       ,  8.643,    0.185,
As Br F O       ,  8.643,    0.185,
As Cd Hg I      ,  8.643,    0.185,
Br Cd Hg S      ,  8.646,    0.185,
Ag I O P        ,  8.649,    0.185,
Cl F O Sb       ,  8.653,    0.185,
Br Cu O Te      ,   8.66,    0.186,
Cd F O P        ,  8.662,    0.186,
F O P Zn        ,  8.662,    0.186,
Ga Mo Se Te     ,  8.668,    0.186,
Bi Cl Ga Te     ,  8.673,    0.187,
As Br Hg In     ,  8.677,    0.187,
Al F Ge O       ,  8.682,    0.188,
Cd Cl O V       ,  8.683,    0.188,
Cl N P Zn       ,  8.688,    0.188,
F O S Te        ,   8.69,    0.188,
Ag Br I Te      ,  8.691,    0.188,
Bi Br Cl S      ,  8.694,    0.188,
Er O Se Si      ,  8.698,    0.189,
Dy O Se Si      ,    8.7,    0.189,
Ag Bi Se Te     ,  8.704,    0.189,
Ho O Se Si      ,  8.707,    0.189,
Cd F O Sb       ,   8.71,     0.19,
Cl Hg O P       ,  8.712,     0.19,
B Mg O S        ,  8.713,     0.19,
Ag S Te V       ,   8.72,     0.19,
O Pb S S        ,  8.721,     0.19,
N O S Se        ,  8.722,    0.191,
Ca Cl Ge O      ,  8.724,    0.191,
