Phase fields,scores,Norm. scores
F O P Zn        , 26.196,     0.25
Al F O Si       , 25.632,    0.203
Cr Cu S Se      , 26.472,    0.273
Cr Cu Se Te     ,   27.8,    0.384
Cr Fe S Se      ,  26.36,    0.263
Cr Hg S Se      , 28.902,    0.476
Cr S Se Zn      , 27.165,    0.331
I Nb Te         ,  30.64,    0.621
Ce Cr O Se      , 28.241,    0.421
Pb S Sn Te      , 27.935,    0.395
Cr Mo S Se      , 27.855,    0.388
Mn Mo S Se      , 27.819,    0.385
Ag Hg I S       , 29.763,    0.548
Mo N Na O       , 26.755,    0.296
N Nb O Sr       ,  28.03,    0.403
Ca N Nb O       , 27.331,    0.344
B Cl O Zn       , 26.181,    0.249
F O Te Xe       , 30.258,    0.589
Ba N O Zn       , 25.711,    0.209
Cu I O Sr       , 27.396,     0.35
Bi I O Te       , 27.674,    0.373
Cu F O Sr       ,  27.08,    0.324
Cl Nd O         , 32.463,    0.773
B Be F O        , 29.488,    0.525
Ca Cl Fe O      ,  25.32,    0.177
Cu Ga Se Te     , 28.969,    0.481
Fe K S Se       , 26.332,    0.261
C Cl N S        , 25.553,    0.196
Cl F Sb Te      , 28.697,    0.459
As Cl F Te      , 28.327,    0.428
F O S Te        , 26.326,    0.261
Br Cl S Sb      , 27.784,    0.382
Hg I Pb S       , 29.553,     0.53
Ba O S V        , 26.512,    0.276
Bi Cl O Ta      , 27.441,    0.354
Bi Br Nb O      , 28.403,    0.434
Bi Br O Ta      , 28.654,    0.455
Gd N O Si       , 27.163,     0.33
Br Co O Sr      , 28.446,    0.438
Cl Li N Zr      ,  29.22,    0.502
B Br O Pb       , 27.935,    0.395
Ce O Si Te      , 27.808,    0.384
Ce O Se Si      , 27.728,    0.378
Ge K N O        , 26.783,    0.299
La O S V        , 27.222,    0.335
As Cl F S       , 27.025,    0.319
B Cl F O        , 27.142,    0.329
Cl O Sb Te      , 26.331,    0.261
Cl F Ge O       , 27.627,    0.369
Ba Br Cl Sr     , 30.199,    0.584
B Cl Fe O       , 25.345,    0.179
C Cs N S        , 27.168,    0.331
Er O S U        , 30.705,    0.626
Cu F O W        , 26.607,    0.284
Cl Cr F K       ,  28.45,    0.438
Cl Cs Cu I      , 28.922,    0.477
