Phase fields,     scores,     Norm. scores,
I S Si Tb       ,  9.162,    0.243,
O Se Si Sm      ,  9.166,    0.244,
Br Ca O P       ,  9.173,    0.244,
Cl Hg P Ti      ,  9.178,    0.244,
As Cl O Sm      ,  9.183,    0.245,
Cl Cu N O       ,  9.187,    0.245,
Cl O Se Sm      ,  9.192,    0.246,
O S Si Y        ,  9.195,    0.246,
Br Ca O Si      ,  9.198,    0.246,
Cr S Se Tl      ,  9.202,    0.246,
F I O Sb        ,  9.204,    0.246,
As La O S       ,  9.208,    0.247,
As Bi Cl Hg     ,  9.211,    0.247,
Bi Br Cd O      ,  9.212,    0.247,
As Br Hg Ti     ,  9.215,    0.247,
Br Re Se Se     ,  9.217,    0.247,
Cu S Sm Te      ,  9.226,    0.248,
Cd I O V        ,  9.232,    0.249,
Br Mn O Sb      ,  9.234,    0.249,
Br O Pb Te      ,  9.235,    0.249,
B Cu I O        ,  9.236,    0.249,
F Hg S Si       ,  9.238,    0.249,
As Br Cr Hg     ,   9.24,    0.249,
Bi Pb S Se      ,   9.24,    0.249,
Al Ca O Te      ,  9.241,    0.249,
S Se Tl V       ,  9.245,     0.25,
Bi Br O Te      ,  9.251,     0.25,
Dy O S Sn       ,  9.253,     0.25,
La O Se Si      ,  9.254,     0.25,
Cl O Si Y       ,  9.258,    0.251,
F Nb O Se       ,  9.262,    0.251,
Ga N O Zn       ,  9.267,    0.251,
Cl P Se Ta      ,  9.267,    0.251,
As Cl La O      ,   9.27,    0.251,
As F N S        ,  9.276,    0.252,
Cl Hg S Zr      ,  9.283,    0.252,
As Cu O Sm      ,  9.286,    0.253,
Al N O Si       ,  9.287,    0.253,
O P Y Zn        ,  9.288,    0.253,
Cu O Se Sm      ,  9.295,    0.253,
Cl Hg P Zr      ,  9.296,    0.253,
Mo S Se Tl      ,  9.297,    0.254,
Br Hg I Te      ,    9.3,    0.254,
F I O Te        ,  9.301,    0.254,
Ca Pb S Se      ,  9.306,    0.254,
Br S Si Sm      ,  9.308,    0.254,
B Br Ni O       ,   9.31,    0.254,
Al Cl N O       ,  9.312,    0.255,
Cu La S Te      ,  9.313,    0.255,
As La O Zn      ,  9.324,    0.256,
Br Ca Cu O      ,  9.327,    0.256,
