phases,target,natom
Al Fe Pr,0,3
Al Fe Pr Sc,0,4
Al Fe Pr Y,0,4
Al Fe Pt,0,3
Al Fe Pu,0,3
Al Fe Re,0,3
Al Fe Rh,0,3
Al Fe Ru,0,3
Al Fe Ru V,0,4
Al Fe Sc,0,3
Al Fe Sm,0,3
Al Fe Ta,0,3
Al Fe Ta V,0,4
Al Fe Tb,0,3
Al Fe Tc,0,3
Al Fe Th,0,3
Al Fe Ti,0,3
Al Fe Ti V,0,4
Al Fe Tm,0,3
Al Fe U,0,3
Al Fe V,0,3
Al Fe W,0,3
Al Fe W Yb,0,4
Al Fe Y,0,3
Al Fe Yb,0,3
Al Fe Zn,0,3
Al Fe Zr,0,3
Al Ga,0,2
Al Ga Gd,0,3
Al Ga Ge Nb,0,4
Al Ga Ho,0,3
Al Ga In Sb,0,4
Al Ga La,0,3
Al Ga La Pd,0,4
Al Ga Li,0,3
Al Ga Mn,0,3
Al Ga Na,0,3
Al Ga Nb,0,3
Al Ga Nd,0,3
Al Ga Ni,0,3
Al Ga Pr,0,3
Al Ga Pu,0,3
Al Ga Sb,0,3
Al Ga Sc,0,3
Al Ga Sm,0,3
Al Ga Sr,0,3
Al Ga Tb,0,3
Al Ga Ti,0,3
Al Ga Tm,0,3
Al Ga U,0,3
Al Ga V,0,3
Al Ga Y,0,3
Al Ga Yb,0,3
Al Ga Zr,0,3
Al Gd,0,2
Al Gd Ge,0,3
Al Gd Ge Ni,0,4
Al Gd Ge Zn,0,4
Al Gd Ho,0,3
Al Gd Ir,0,3
Al Gd La,0,3
Al Gd Lu,0,3
Al Gd Mg,0,3
Al Gd Mg Ni,0,4
Al Gd Mn,0,3
Al Gd Mn W,0,4
Al Gd Mn Zn,0,4
Al Gd Mo,0,3
Al Gd Nd,0,3
Al Gd Ni,0,3
Al Gd Os,0,3
Al Gd Pd,0,3
Al Gd Pr,0,3
Al Gd Pt,0,3
Al Gd Re,0,3
Al Gd Rh,0,3
Al Gd Ru,0,3
Al Gd Sc,0,3
Al Gd Ta,0,3
Al Gd Tb,0,3
Al Gd Ti,0,3
Al Gd U,0,3
