phases,leaf,mat2vec
Bi Hg Ni,0.882,2.863
Ni Pb Tl,0.858,2.913
Bi Ni Tl,1.031,2.923
Bi Ni Pb,0.959,1.728
Cu Rb Zn,0.67,2.871
Cu Sr Zn,0.791,1.642
Cu Y Zn,0.533,0.878
Cu Nb Zn,0.75,1.439
Cu Mo Zn,0.817,1.168
Cd Cu Zn,0.335,1.667
Cs Cu Zn,0.948,2.193
Cu Ta Zn,0.459,1.587
Cu W Zn,1.023,1.928
Cu Os Zn,0.85,2.881
Cu Hg Zn,0.583,2.435
Cu Tl Zn,0.751,2.498
Cu Pb Zn,0.67,1.237
Bi Cu Zn,0.857,1.249
Cu Ga Rb,0.767,3.358
Cd Cu Ga,0.449,2.222
Cu Ga In,0.434,1.794
Cs Cu Ga,1.034,2.716
Cu Ga Os,0.939,3.367
Cu Ga Ir,1.177,2.608
Cu Ga Hg,0.683,2.945
Cu Ga Tl,0.844,3.004
Cu Ga Pb,0.767,1.821
Bi Cu Ga,0.946,1.833
Cu Rb Sr,1.077,3.576
Cu Rb Y,0.85,2.972
Cu Rb Zr,0.79,3.039
Cu Nb Rb,1.04,3.414
Cu Mo Rb,1.099,3.198
Ag Cu Rb,1.293,3.229
Cd Cu Rb,0.682,3.596
Cu In Rb,0.669,3.23
Cs Cu Rb,1.217,4.025
Ba Cu Rb,0.956,3.379
Cu Hf Rb,1.196,3.849
Cu Rb Ta,0.787,3.532
Cu Rb W,1.285,3.808
Cu Os Rb,1.129,4.598
Cu Ir Rb,1.351,3.931
Cu Pt Rb,0.886,3.478
Au Cu Rb,0.858,3.281
Cu Hg Rb,0.893,4.225
Cu Rb Tl,1.041,4.278
Cu Pb Rb,0.97,3.253
Bi Cu Rb,1.135,3.263
Cu Sr Y,0.962,1.758
Cu Sr Zr,0.905,1.835
Cu Nb Sr,1.143,2.262
Cu Mo Sr,1.2,2.017
Cs Cu Sr,1.314,2.95
Ba Cu Sr,1.063,2.223
Cu Hf Sr,1.294,2.753
Cu Sr Ta,0.902,2.396
Cu Sr W,1.38,2.706
Cu Os Sr,1.229,3.585
Cu Ir Sr,1.443,2.844
Cu Pt Sr,0.996,2.334
Au Cu Sr,0.97,2.111
Cu Hg Sr,1.003,3.172
Cu Sr Tl,1.145,3.231
Cu Pb Sr,1.077,2.08
Cu Y Zr,0.66,1.09
Cu Nb Y,0.924,1.558
Cu Mo Y,0.986,1.29
Cd Cu Y,0.546,1.782
Cs Cu Y,1.109,2.301
Ba Cu Y,0.835,1.515
Cu Hf Y,1.087,2.089
Cu Ta Y,0.657,1.703
Cu W Y,1.179,2.039
Cu Os Y,1.017,2.981
Cu Ir Y,1.248,2.188
Cu Pt Y,0.761,1.637
Au Cu Y,0.733,1.393
Cu Hg Y,0.77,2.541
Cu Tl Y,0.925,2.603
Bi Cu Y,1.024,1.37
Cu Nb Zr,0.865,1.637
Cu Mo Zr,0.929,1.372
Cs Cu Zr,1.055,2.374
Ba Cu Zr,0.775,1.594
Cu Hf Zr,1.032,2.163
Cu Ta Zr,0.591,1.781
Cu W Zr,1.127,2.114
Cu Os Zr,0.961,3.048
Cu Ir Zr,1.197,2.261
Cu Pt Zr,0.699,1.715
Au Cu Zr,0.669,1.474
Cu Tl Zr,0.867,2.673
Cu Mo Nb,1.165,1.824
Ag Cu Nb,1.355,1.859
Cd Cu Nb,0.761,2.285
Cu In Nb,0.749,1.861
Cs Cu Nb,1.28,2.776
Ba Cu Nb,1.026,2.034
Cu Hf Nb,1.26,2.575
Cu Nb Ta,0.862,2.211
Cu Nb W,1.347,2.528
Cu Nb Os,1.194,3.423
Cu Ir Nb,1.411,2.668
Cu Nb Pt,0.958,2.148
Au Cu Nb,0.932,1.92
Cu Hg Nb,0.965,3.003
Cu Nb Tl,1.109,3.062
Cu Nb Pb,1.04,1.888
Bi Cu Nb,1.201,1.899
Ag Cu Mo,1.407,1.602
Cd Cu Mo,0.828,2.041
Cu In Mo,0.815,1.603
Cu Mo Sn,0.783,1.294
Cs Cu Mo,1.334,2.545
Ba Cu Mo,1.086,1.782
Cu Hf Mo,1.314,2.339
Cu Mo Ta,0.926,1.965
Cu Mo W,1.399,2.29
Cu Mo Os,1.25,3.207
Cu Ir Mo,1.463,2.435
Cu Mo Pt,1.019,1.9
Au Cu Mo,0.993,1.664
Cu Hg Mo,1.026,2.778
Cu Mo Tl,1.167,2.838
Cu Mo Pb,1.099,1.631
Bi Cu Mo,1.256,1.643
Ag Cd Cu,1.043,2.076
Ag Cu In,1.032,1.64
Ag Cu Sn,1.002,1.332
Ag Cs Cu,1.513,2.578
Ag Ba Cu,1.28,1.818
Ag Cu Hf,1.494,2.372
Ag Cu Ta,1.133,2.0
Ag Cu W,1.574,2.324
Ag Cu Os,1.434,3.238
Ag Cu Ir,1.634,2.468
Ag Cu Pt,1.219,1.935
Ag Cu Hg,1.226,2.81
Ag Cu Tl,1.356,2.87
Ag Cu Pb,1.293,1.668
Cd Cu Sn,0.292,1.786
Cd Cs Cu,0.959,2.971
Ba Cd Cu,0.666,2.246
Cd Cu Hf,0.935,2.774
Cd Cu Ta,0.472,2.419
Cd Cu W,1.034,2.728
Cd Cu Os,0.861,3.605
Cd Cu Pt,0.586,2.357
Au Cd Cu,0.555,2.134
Cd Cu Hg,0.595,3.193
Cd Cu Tl,0.763,3.251
Cd Cu Pb,0.682,2.103
Bi Cd Cu,0.868,2.114
Cs Cu In,0.947,2.579
Ba Cu In,0.653,1.819
Cu In Ta,0.458,2.001
Cu In W,1.022,2.325
Cu In Os,0.849,3.239
Cu In Ir,1.095,2.469
Cu Hg In,0.581,2.811
Cu In Tl,0.75,2.871
Cu In Pb,0.669,1.669
Bi Cu In,0.856,1.68
Cu Sn Ta,0.418,1.707
Cu Sn W,0.992,2.043
Cu Os Sn,0.816,2.984
Cu Ir Sn,1.066,2.191
Cu Hg Sn,0.545,2.544
Cu Sn Tl,0.716,2.606
Cu Pb Sn,0.634,1.363
Bi Cu Sn,0.824,1.374
Ba Cs Cu,1.204,2.739
Cs Cu Hf,1.423,3.24
Cs Cu Ta,1.052,2.902
Cs Cu W,1.505,3.196
Cs Cu Os,1.362,4.034
Cs Cu Ir,1.567,3.327
Cs Cu Pt,1.141,2.844
Au Cs Cu,1.116,2.633
Cs Cu Hg,1.147,3.64
Cs Cu Tl,1.282,3.695
Cs Cu Pb,1.217,2.604
Bi Cs Cu,1.368,2.614
Ba Cu Hf,1.183,2.537
Ba Cu Ta,0.771,2.171
Ba Cu W,1.272,2.489
Ba Cu Os,1.115,3.388
Ba Cu Ir,1.339,2.63
Ba Cu Pt,0.871,2.108
Au Ba Cu,0.844,1.878
Ba Cu Hg,0.879,2.967
Ba Cu Tl,1.027,3.026
Ba Cu Pb,0.956,1.846
Cu Hf Ta,1.029,2.704
Cu Hf W,1.486,3.004
Cu Hf Os,1.342,3.857
Cu Hf Ir,1.548,3.138
Cu Hf Pt,1.119,2.645
Au Cu Hf,1.094,2.429
Cu Hf Tl,1.261,3.513
Bi Cu Hf,1.348,2.409
Cu Ta W,1.124,2.658
Cu Os Ta,0.958,3.541
Cu Ir Ta,1.194,2.796
Cu Pt Ta,0.695,2.284
Au Cu Ta,0.666,2.059
Cu Hg Ta,0.704,3.126
Cu Ta Tl,0.864,3.185
Cu Pb Ta,0.787,2.027
Bi Cu Ta,0.965,2.038
Cu Os W,1.426,3.816
Cu Ir W,1.627,3.093
Cu Pt W,1.21,2.598
Au Cu W,1.187,2.381
Cu Hg W,1.217,3.413
Cu Tl W,1.348,3.47
Cu Pb W,1.285,2.351
Bi Cu W,1.432,2.361
Cu Ir Os,1.489,3.939
Cu Os Pt,1.05,3.486
Au Cu Os,1.024,3.29
Cu Hg Os,1.057,4.234
Cu Os Tl,1.196,4.286
Cu Os Pb,1.129,3.262
Bi Cu Os,1.284,3.272
Cu Ir Pt,1.278,2.737
Au Cu Ir,1.255,2.524
Cu Hg Ir,1.285,3.541
Cu Ir Tl,1.412,3.597
Cu Ir Pb,1.351,2.494
Cu Hg Pt,0.806,3.07
Cu Pt Tl,0.959,3.128
Cu Pb Pt,0.886,1.963
Bi Cu Pt,1.057,1.974
Au Cu Hg,0.778,2.864
Au Cu Tl,0.933,2.924
Au Cu Pb,0.859,1.729
Au Bi Cu,1.031,1.741
Cu Hg Tl,0.967,3.902
Cu Hg Pb,0.893,2.835
Bi Cu Hg,1.064,2.845
Cu Pb Tl,1.041,2.895
Bi Cu Tl,1.202,2.905
Bi Cu Pb,1.135,1.708
Ga Rb Zn,0.571,3.599
Ga Sr Zn,0.698,2.472
Ag Ga Zn,0.948,2.079
Cd Ga Zn,0.217,2.494
Ga In Zn,0.2,2.08
Ga Sn Zn,0.155,1.789
Cs Ga Zn,0.861,2.974
Ba Ga Zn,0.554,2.249
Ga W Zn,0.939,2.731
Ga Os Zn,0.759,3.608
Ga Ir Zn,1.014,2.869
Ga Pt Zn,0.47,2.361
Au Ga Zn,0.437,2.138
Ga Hg Zn,0.479,3.196
Ga Tl Zn,0.656,3.254
Ga Pb Zn,0.571,2.107
Bi Ga Zn,0.766,2.117
Rb Sr Zn,0.907,3.812
Rb Y Zn,0.662,3.223
Rb Zn Zr,0.597,3.288
Nb Rb Zn,0.867,3.653
Mo Rb Zn,0.931,3.443
Ag Rb Zn,1.137,3.473
Cd Rb Zn,0.478,3.832
In Rb Zn,0.464,3.474
Cs Rb Zn,1.056,4.251
Ba Rb Zn,0.777,3.619
Hf Rb Zn,1.034,4.079
Rb Ta Zn,0.593,3.769
Rb W Zn,1.128,4.038
Os Rb Zn,0.962,4.813
Ir Rb Zn,1.198,4.159
Pt Rb Zn,0.701,3.716
Au Rb Zn,0.671,3.524
Hg Rb Zn,0.709,4.447
Rb Tl Zn,0.869,4.498
Pb Rb Zn,0.792,3.497
Bi Rb Zn,0.97,3.506
Sr Y Zn,0.784,2.045
Sr Zn Zr,0.722,2.119
Nb Sr Zn,0.978,2.533
Mo Sr Zn,1.039,2.296
Cs Sr Zn,1.16,3.201
Hf Sr Zn,1.138,3.009
Sr Ta Zn,0.718,2.663
Sr W Zn,1.229,2.964
Os Sr Zn,1.07,3.821
Ir Sr Zn,1.296,3.098
Hg Sr Zn,0.828,3.418
Sr Tl Zn,0.98,3.475
Nb Y Zn,0.742,1.852
Mo Y Zn,0.809,1.594
Ag Y Zn,1.026,1.631
Cd Y Zn,0.326,2.069
In Y Zn,0.311,1.632
Cs Y Zn,0.941,2.571
Ba Y Zn,0.646,1.811
Hf Y Zn,0.918,2.366
Ta Y Zn,0.45,1.992
W Y Zn,1.017,2.317
Os Y Zn,0.843,3.232
Ir Y Zn,1.09,2.461
Pt Y Zn,0.565,1.928
Hg Y Zn,0.574,2.803
Tl Y Zn,0.744,2.864
Pb Y Zn,0.662,1.66
Bi Y Zn,0.85,1.672
Mo Zn Zr,0.748,1.673
Cd Zn Zr,0.247,2.143
In Zn Zr,0.231,1.711
Cs Zn Zr,0.883,2.641
Ba Zn Zr,0.58,1.887
Ta Zn Zr,0.377,2.067
W Zn Zr,0.96,2.389
Os Zn Zr,0.782,3.297
Ir Zn Zr,1.035,2.532
Pt Zn Zr,0.496,2.003
Au Zn Zr,0.464,1.771
Hg Zn Zr,0.506,2.872
Tl Zn Zr,0.68,2.932
Bi Zn Zr,0.79,1.749
Mo Nb Zn,1.002,2.109
Ag Nb Zn,1.203,2.143
Cd Nb Zn,0.565,2.555
In Nb Zn,0.551,2.144
Nb Sn Zn,0.514,1.856
Cs Nb Zn,1.124,3.032
Ba Nb Zn,0.852,2.312
Hf Nb Zn,1.102,2.837
Nb Ta Zn,0.675,2.484
Nb W Zn,1.194,2.791
Nb Os Zn,1.032,3.662
Ir Nb Zn,1.262,2.927
Nb Pt Zn,0.779,2.423
Hg Nb Zn,0.787,3.253
Nb Tl Zn,0.941,3.311
Nb Pb Zn,0.867,2.17
Bi Nb Zn,1.039,2.181
Ag Mo Zn,1.258,1.895
Cd Mo Zn,0.638,2.319
In Mo Zn,0.625,1.896
Cs Mo Zn,1.181,2.808
Ba Mo Zn,0.916,2.068
Hf Mo Zn,1.16,2.608
Mo Ta Zn,0.744,2.245
Mo W Zn,1.25,2.56
Mo Os Zn,1.092,3.452
Ir Mo Zn,1.317,2.7
Mo Pt Zn,0.845,2.182
Hg Mo Zn,0.853,3.034
Mo Tl Zn,1.003,3.093
Mo Pb Zn,0.931,1.923
Bi Mo Zn,1.099,1.934
Ag Sn Zn,0.826,1.635
Ag Cs Zn,1.37,2.839
Ag Ba Zn,1.124,2.103
Ag Hf Zn,1.35,2.64
Ag Ta Zn,0.967,2.279
Ag W Zn,1.434,2.593
Ag Os Zn,1.286,3.482
Ag Ir Zn,1.497,2.732
Ag Pt Zn,1.059,2.216
Ag Hg Zn,1.066,3.065
Ag Tl Zn,1.204,3.124
Ag Pb Zn,1.137,1.958
Ag Bi Zn,1.293,1.969
Cd In Zn,0.085,2.354
Cd Sn Zn,0.036,2.072
Cd Cs Zn,0.78,3.222
Ba Cd Zn,0.461,2.517
Cd Hf Zn,0.755,3.031
Cd Ta Zn,0.243,2.685
Cd W Zn,0.861,2.986
Cd Os Zn,0.674,3.84
Cd Ir Zn,0.939,3.119
Cd Hg Zn,0.381,3.439
Cd Tl Zn,0.567,3.495
Cd Pb Zn,0.478,2.379
Bi Cd Zn,0.682,2.389
In Sn Zn,0.017,1.636
Cs In Zn,0.768,2.841
Hf In Zn,0.742,2.641
In Ta Zn,0.227,2.28
In W Zn,0.849,2.594
In Os Zn,0.661,3.483
In Ir Zn,0.927,2.734
In Pt Zn,0.356,2.218
Hg In Zn,0.366,3.066
In Tl Zn,0.553,3.125
In Pb Zn,0.464,1.959
Bi In Zn,0.669,1.97
Hf Sn Zn,0.708,2.369
Sn Ta Zn,0.182,1.996
Sn W Zn,0.816,2.321
Os Sn Zn,0.626,3.235
Ir Sn Zn,0.896,2.464
Au Sn Zn,0.279,1.697
Hg Sn Zn,0.325,2.806
Sn Tl Zn,0.516,2.867
Pb Sn Zn,0.425,1.664
Bi Sn Zn,0.634,1.675
Ba Cs Zn,1.043,2.996
Cs Hf Zn,1.275,3.484
Cs Ta Zn,0.88,3.155
Cs W Zn,1.362,3.441
Cs Os Zn,1.21,4.259
Cs Ir Zn,1.426,3.569
Cs Pt Zn,0.975,3.098
Au Cs Zn,0.949,2.893
Cs Hg Zn,0.983,3.874
Cs Tl Zn,1.125,3.928
Cs Pb Zn,1.056,2.865
Bi Cs Zn,1.217,2.875
Ba Hf Zn,1.02,2.8
Ba Ta Zn,0.576,2.445
Ba W Zn,1.115,2.754
Ba Os Zn,0.948,3.628
Ba Ir Zn,1.186,2.891
Ba Pt Zn,0.685,2.384
Ba Tl Zn,0.854,3.275
Hf Ta Zn,0.856,2.962
Hf W Zn,1.342,3.254
Hf Os Zn,1.189,4.087
Hf Ir Zn,1.406,3.384
Hf Pt Zn,0.952,2.905
Au Hf Zn,0.926,2.695
Hf Hg Zn,0.96,3.695
Hf Tl Zn,1.104,3.75
Hf Pb Zn,1.034,2.666
Bi Hf Zn,1.196,2.676
Ta W Zn,0.957,2.917
Os Ta Zn,0.779,3.778
Ir Ta Zn,1.032,3.052
Pt Ta Zn,0.493,2.554
Au Ta Zn,0.46,2.336
Hg Ta Zn,0.502,3.373
Ta Tl Zn,0.677,3.43
Pb Ta Zn,0.593,2.306
Bi Ta Zn,0.786,2.316
Os W Zn,1.278,4.047
Ir W Zn,1.489,3.341
Pt W Zn,1.05,2.859
Au W Zn,1.024,2.649
Hg W Zn,1.057,3.653
Tl W Zn,1.195,3.709
Pb W Zn,1.128,2.619
Bi W Zn,1.284,2.629
Ir Os Zn,1.344,4.167
Os Pt Zn,0.878,3.724
Au Os Zn,0.851,3.532
Hg Os Zn,0.886,4.455
Os Tl Zn,1.034,4.506
Os Pb Zn,0.962,3.506
Bi Os Zn,1.128,3.515
Ir Pt Zn,1.122,2.994
Au Ir Zn,1.097,2.787
Hg Ir Zn,1.129,3.778
Ir Tl Zn,1.264,3.833
Ir Pb Zn,1.198,2.758
Bi Ir Zn,1.35,2.768
Au Pt Zn,0.575,2.274
Hg Pt Zn,0.614,3.318
Pt Tl Zn,0.781,3.375
Pb Pt Zn,0.701,2.243
Bi Pt Zn,0.885,2.254
Au Hg Zn,0.584,3.118
Au Tl Zn,0.752,3.176
Au Pb Zn,0.671,2.018
Au Bi Zn,0.858,2.028
Hg Tl Zn,0.789,4.13
Hg Pb Zn,0.709,3.09
Bi Hg Zn,0.893,3.099
Pb Tl Zn,0.869,3.148
Bi Tl Zn,1.041,3.158
Bi Pb Zn,0.97,1.997
Ga Rb Sr,0.994,4.256
Ga Rb Y,0.759,3.692
Ga Rb Zr,0.696,3.754
Ga Nb Rb,0.956,4.104
Ga Mo Rb,1.017,3.903
Ag Ga Rb,1.217,3.931
Cd Ga Rb,0.583,4.274
Cs Ga Rb,1.138,4.677
Ba Ga Rb,0.869,4.071
Ga Hf Rb,1.117,4.511
Ga Rb Ta,0.693,4.214
Ga Rb W,1.208,4.473
Ga Os Rb,1.048,5.218
Ga Ir Rb,1.276,4.588
Ga Pt Rb,0.796,4.163
Ga Rb Tl,0.957,4.915
Ga Pb Rb,0.883,3.954
Bi Ga Rb,1.054,3.963
Ga Sr Y,0.876,2.576
Ga Sr Zr,0.816,2.647
Ga Nb Sr,1.063,3.037
Ga Mo Sr,1.122,2.813
Cs Ga Sr,1.239,3.672
Ga Hf Sr,1.218,3.489
Ga Sr Ta,0.813,3.16
Ga Sr W,1.306,3.446
Ga Os Sr,1.151,4.264
Ga Pt Sr,0.91,3.103
Ga Hg Sr,0.918,3.879
Ga Sr Tl,1.064,3.933
Bi Ga Sr,1.158,2.88
Ga Y Zr,0.561,1.975
Ga Nb Y,0.835,2.395
Cd Ga Y,0.44,2.599
Ga In Y,0.425,2.19
Ga Sn Y,0.385,1.903
Cs Ga Y,1.027,3.073
Ba Ga Y,0.744,2.357
Ga Hf Y,1.004,2.879
Ga Ta Y,0.557,2.527
Ga W Y,1.1,2.833
Ga Os Y,0.932,3.701
Ga Hg Y,0.675,3.293
Ga Tl Y,0.837,3.351
Ga Pb Y,0.759,2.216
Bi Ga Y,0.939,2.226
Ga Mo Zr,0.841,2.228
Ag Ga Zr,1.055,2.262
Cd Ga Zr,0.366,2.669
Ga In Zr,0.351,2.263
Cs Ga Zr,0.971,3.14
Ba Ga Zr,0.68,2.428
Ga Ta Zr,0.488,2.598
Ga W Zr,1.046,2.901
Ga Hg Zr,0.61,3.358
Ga Tl Zr,0.776,3.415
Bi Ga Zr,0.881,2.299
Ga Mo Nb,1.085,2.637
Ag Ga Nb,1.28,2.669
Cd Ga Nb,0.666,3.058
Ga In Nb,0.653,2.67
Cs Ga Nb,1.204,3.511
Ba Ga Nb,0.941,2.828
Ga Nb Ta,0.771,2.99
Ga Nb W,1.272,3.281
Ga Nb Os,1.115,4.112
Ga Hg Nb,0.879,3.721
Ga Nb Tl,1.027,3.776
Ga Nb Pb,0.956,2.695
Bi Ga Nb,1.122,2.705
Cd Ga Mo,0.735,2.835
Ga In Mo,0.723,2.437
Cs Ga Mo,1.26,3.297
Ba Ga Mo,1.003,2.599
Ga Hf Mo,1.239,3.108
Ga Mo Os,1.173,3.911
Ga Ir Mo,1.391,3.196
Ga Mo Pt,0.934,2.706
Au Ga Mo,0.908,2.492
Ga Hg Mo,0.942,3.512
Ga Mo Tl,1.087,3.569
Ga Mo Pb,1.017,2.462
Bi Ga Mo,1.179,2.472
Ag Cd Ga,0.959,2.866
Ag Ga In,0.947,2.47
Ag Ga Sn,0.916,2.192
Ag Cs Ga,1.443,3.328
Ag Ga Ta,1.052,2.797
Ag Ga W,1.505,3.094
Ag Ga Os,1.362,3.94
Ag Ga Ir,1.567,3.226
Ag Ga Pt,1.141,2.738
Ag Au Ga,1.116,2.525
Ag Ga Hg,1.148,3.542
Ag Ga Tl,1.282,3.598
Ag Ga Pb,1.217,2.495
Ag Bi Ga,1.368,2.505
Cd Ga In,0.215,2.867
Cd Ga Sn,0.17,2.602
Cd Cs Ga,0.872,3.691
Cd Ga Hf,0.848,3.509
Cd Ga Ta,0.362,3.181
Cd Ga W,0.949,3.466
Cd Ga Os,0.77,4.283
Cd Ga Ir,1.024,3.594
Cd Ga Pt,0.483,3.125
Au Cd Ga,0.45,2.92
Cd Ga Hg,0.492,3.898
Cd Ga Tl,0.668,3.952
Cd Ga Pb,0.584,2.891
Bi Cd Ga,0.778,2.901
Ga In Sn,0.153,2.193
Ga Hf In,0.836,3.14
Ga In Ta,0.347,2.798
Ga In W,0.938,3.095
Ga In Os,0.758,3.941
Ga In Ir,1.013,3.227
Ga In Pt,0.468,2.739
Ga Hg In,0.478,3.543
Ga In Tl,0.655,3.599
Ga In Pb,0.57,2.496
Bi Ga In,0.765,2.506
Ga Sn W,0.907,2.836
Ga Os Sn,0.724,3.704
Ga Pt Sn,0.429,2.47
Au Ga Sn,0.396,2.25
Ga Hg Sn,0.439,3.296
Ga Sn Tl,0.619,3.354
Ga Pb Sn,0.533,2.219
Bi Ga Sn,0.732,2.23
Ba Cs Ga,1.125,3.476
Cs Ga Hf,1.351,3.942
Cs Ga Ta,0.968,3.628
Cs Ga W,1.435,3.901
Cs Ga Os,1.288,4.685
Cs Ga Ir,1.498,4.023
Cs Ga Pt,1.06,3.574
Cs Ga Hg,1.067,4.315
Cs Ga Tl,1.205,4.367
Cs Ga Pb,1.138,3.352
Bi Cs Ga,1.294,3.361
Ba Ga Hf,1.104,3.29
Ba Ga Ta,0.677,2.954
Ba Ga W,1.195,3.246
Ba Ga Os,1.034,4.079
Ba Ga Ir,1.264,3.376
Ba Ga Tl,0.943,3.742
Ba Bi Ga,1.041,2.667
Ga Hf Ta,0.945,3.444
Ga Hf W,1.416,3.722
Ga Hf Os,1.267,4.519
Ga Hf Ir,1.479,3.846
Ga Hf Hg,1.045,4.144
Ga Hf Tl,1.184,4.196
Ga Hf Pb,1.117,3.163
Bi Ga Hf,1.273,3.172
Ga Ta W,1.043,3.401
Ga Os Ta,0.871,4.222
Ga Pt Ta,0.597,3.057
Ga Hg Ta,0.606,3.836
Ga Ta Tl,0.773,3.89
Ga Pb Ta,0.693,2.822
Bi Ga Ta,0.878,2.832
Ga Os W,1.354,4.481
Ga Ir W,1.559,3.805
Ga Pt W,1.132,3.346
Au Ga W,1.107,3.147
Ga Hg W,1.139,4.103
Ga Tl W,1.273,4.156
Ga Pb W,1.208,3.119
Bi Ga W,1.36,3.128
Ga Ir Os,1.418,4.596
Ga Os Pt,0.966,4.172
Au Ga Os,0.94,3.988
Ga Hg Os,0.973,4.873
Ga Os Tl,1.117,4.923
Ga Os Pb,1.048,3.962
Bi Ga Os,1.208,3.971
Ga Ir Pt,1.202,3.475
Au Ga Ir,1.178,3.278
Ga Hg Ir,1.208,4.223
Ga Ir Tl,1.34,4.275
Ga Ir Pb,1.276,3.25
Bi Ga Ir,1.424,3.26
Au Ga Pt,0.676,2.793
Ga Hg Pt,0.713,3.783
Ga Pt Tl,0.872,3.838
Ga Pb Pt,0.796,2.764
Bi Ga Pt,0.973,2.774
Au Ga Hg,0.684,3.592
Au Ga Tl,0.845,3.648
Au Ga Pb,0.768,2.551
Au Bi Ga,0.947,2.561
Ga Hg Tl,0.88,4.561
Ga Hg Pb,0.804,3.565
Bi Ga Hg,0.98,3.575
Ga Pb Tl,0.957,3.621
Bi Ga Tl,1.123,3.63
Bi Ga Pb,1.054,2.531
Rb Sr Y,1.07,3.903
Rb Sr Zr,1.015,3.964
Nb Rb Sr,1.244,4.307
Mo Rb Sr,1.299,4.11
Ag Rb Sr,1.48,4.137
Cd Rb Sr,0.917,4.474
In Rb Sr,0.906,4.139
Rb Sn Sr,0.874,3.906
Cs Rb Sr,1.408,4.87
Ba Rb Sr,1.166,4.275
Hf Rb Sr,1.389,4.707
Rb Sr Ta,1.012,4.415
Rb Sr W,1.472,4.669
Os Rb Sr,1.326,5.402
Ir Rb Sr,1.534,4.782
Pt Rb Sr,1.102,4.365
Au Rb Sr,1.077,4.185
Hg Rb Sr,1.109,5.055
Rb Sr Tl,1.245,5.104
Pb Rb Sr,1.179,4.16
Bi Rb Sr,1.332,4.168
Rb Y Zr,0.782,3.384
Nb Rb Y,1.033,3.746
Mo Rb Y,1.092,3.538
Ag Rb Y,1.287,3.567
Cd Rb Y,0.674,3.923
In Rb Y,0.661,3.568
Rb Sn Y,0.626,3.322
Cs Rb Y,1.21,4.338
Ba Rb Y,0.949,3.712
Hf Rb Y,1.189,4.168
Rb Ta Y,0.779,3.86
Rb W Y,1.278,4.127
Os Rb Y,1.122,4.896
Ir Rb Y,1.345,4.247
Pt Rb Y,0.878,3.808
Au Rb Y,0.851,3.617
Hg Rb Y,0.886,4.533
Rb Tl Y,1.034,4.584
Pb Rb Y,0.963,3.591
Bi Rb Y,1.129,3.6
Nb Rb Zr,0.977,3.808
Mo Rb Zr,1.038,3.601
Ag Rb Zr,1.236,3.63
Cd Rb Zr,0.609,3.984
In Rb Zr,0.595,3.631
Rb Sn Zr,0.559,3.387
Cs Rb Zr,1.158,4.397
Ba Rb Zr,0.891,3.774
Hf Rb Zr,1.137,4.227
Rb Ta Zr,0.717,3.922
Rb W Zr,1.228,4.187
Os Rb Zr,1.068,4.951
Ir Rb Zr,1.295,4.306
Pt Rb Zr,0.819,3.869
Au Rb Zr,0.791,3.68
Hg Rb Zr,0.827,4.59
Rb Tl Zr,0.978,4.641
Pb Rb Zr,0.905,3.654
Bi Rb Zr,1.075,3.663
Mo Nb Rb,1.265,3.956
Ag Nb Rb,1.448,3.984
Cd Nb Rb,0.878,4.325
In Nb Rb,0.866,3.985
Nb Rb Sn,0.834,3.749
Cs Nb Rb,1.376,4.726
Ba Nb Rb,1.131,4.123
Hf Nb Rb,1.356,4.561
Nb Rb Ta,0.974,4.265
Nb Rb W,1.44,4.523
Nb Os Rb,1.293,5.265
Ir Nb Rb,1.502,4.637
Nb Pt Rb,1.065,4.215
Au Nb Rb,1.04,4.032
Hg Nb Rb,1.073,4.914
Nb Rb Tl,1.21,4.963
Nb Pb Rb,1.144,4.006
Bi Nb Rb,1.299,4.015
Ag Mo Rb,1.499,3.781
Cd Mo Rb,0.941,4.129
In Mo Rb,0.93,3.782
Mo Rb Sn,0.898,3.541
Cs Mo Rb,1.428,4.537
Ba Mo Rb,1.188,3.923
Hf Mo Rb,1.409,4.369
Mo Rb Ta,1.035,4.068
Mo Rb W,1.491,4.33
Mo Os Rb,1.347,5.084
Ir Mo Rb,1.553,4.447
Mo Pt Rb,1.124,4.016
Au Mo Rb,1.1,3.83
Hg Mo Rb,1.131,4.728
Mo Rb Tl,1.266,4.778
Mo Pb Rb,1.201,3.803
Bi Mo Rb,1.353,3.812
Ag Cd Rb,1.147,4.156
Ag In Rb,1.136,3.81
Ag Rb Sn,1.107,3.57
Ag Cs Rb,1.601,4.563
Ag Ba Rb,1.376,3.951
Ag Hf Rb,1.583,4.396
Ag Rb Ta,1.233,4.096
Ag Rb W,1.661,4.357
Ag Os Rb,1.525,5.11
Ag Ir Rb,1.719,4.474
Ag Pt Rb,1.316,4.044
Ag Au Rb,1.294,3.858
Ag Hg Rb,1.323,4.754
Ag Rb Tl,1.449,4.804
Ag Pb Rb,1.388,3.832
Ag Bi Rb,1.53,3.841
Cd In Rb,0.477,4.158
Cd Rb Sn,0.438,3.926
Cd Cs Rb,1.066,4.887
Ba Cd Rb,0.788,4.293
Cd Hf Rb,1.044,4.725
Cd Rb Ta,0.605,4.434
Cd Rb W,1.138,4.687
Cd Os Rb,0.973,5.419
Cd Ir Rb,1.208,4.8
Cd Pt Rb,0.712,4.384
Au Cd Rb,0.683,4.204
Cd Hg Rb,0.721,5.072
Cd Pb Rb,0.803,4.179
