phases,leaf,mat2vec
Hg Li Zn,0.618,3.753
Li Tl Zn,0.784,3.808
Li Pb Zn,0.704,2.73
Ga Li Rb,0.799,4.565
Ga Li Zr,0.604,3.009
Ga Li Nb,0.874,3.385
Ga Li Mo,0.937,3.169
Ga In Li,0.472,3.201
Cs Ga Li,1.063,3.998
Ga Hf Li,1.041,3.822
Ga Li Ta,0.601,3.504
Ga Li W,1.135,3.78
Ga Li Os,0.969,4.573
Ga Hg Li,0.717,4.199
Ga Li Tl,0.876,4.252
Ga Li Pb,0.799,3.224
Bi Ga Li,0.976,3.234
Li Rb Sr,1.105,4.76
Li Rb Y,0.881,4.223
Li Rb Zr,0.822,4.282
Li Nb Rb,1.068,4.615
Li Mo Rb,1.127,4.423
Ag Li Rb,1.319,4.45
Cd Li Rb,0.716,4.778
In Li Rb,0.703,4.451
Cs Li Rb,1.244,5.163
Ba Li Rb,0.986,4.584
Hf Li Rb,1.223,5.004
Li Rb Ta,0.819,4.72
Li Rb W,1.311,4.967
Li Os Rb,1.156,5.682
Ir Li Rb,1.376,5.077
Li Pt Rb,0.916,4.672
Au Li Rb,0.89,4.496
Hg Li Rb,0.924,5.343
Li Rb Tl,1.07,5.391
Li Pb Rb,0.999,4.472
Bi Li Rb,1.163,4.48
Li Sr Y,0.992,3.17
Li Sr Zr,0.935,3.235
Li Nb Sr,1.171,3.603
Li Mo Sr,1.228,3.392
Ag Li Sr,1.413,3.422
Cd Li Sr,0.835,3.782
In Li Sr,0.822,3.423
Cs Li Sr,1.34,4.203
Hf Li Sr,1.32,4.03
Li Sr Ta,0.932,3.719
Li Sr W,1.405,3.99
Li Os Sr,1.256,4.767
Ir Li Sr,1.468,4.11
Li Pt Sr,1.025,3.666
Au Li Sr,1.0,3.472
Li Sr Tl,1.173,4.452
Li Pb Sr,1.105,3.445
Li Y Zr,0.694,2.608
Li Nb Y,0.954,3.0
Li Mo Y,1.015,2.775
Ag Li Y,1.215,2.807
Cd Li Y,0.582,3.191
Cs Li Y,1.137,3.637
Ba Li Y,0.867,2.964
Hf Li Y,1.115,3.454
Li Ta Y,0.691,3.124
Li W Y,1.207,3.411
Li Os Y,1.046,4.231
Ir Li Y,1.275,3.539
Li Pt Y,0.794,3.067
Au Li Y,0.766,2.861
Hg Li Y,0.802,3.845
Li Tl Y,0.955,3.899
Li Pb Y,0.881,2.832
Li Nb Zr,0.896,3.067
Li Mo Zr,0.959,2.844
Ag Li Zr,1.163,2.875
Cd Li Zr,0.513,3.256
In Li Zr,0.499,2.876
Li Sn Zr,0.461,2.611
Cs Li Zr,1.083,3.7
Ba Li Zr,0.807,3.031
Hf Li Zr,1.061,3.518
Li Ta Zr,0.626,3.19
Li W Zr,1.155,3.475
Li Os Zr,0.99,4.29
Ir Li Zr,1.224,3.602
Li Pt Zr,0.732,3.133
Au Li Zr,0.703,2.929
Hg Li Zr,0.74,3.906
Li Tl Zr,0.898,3.96
Li Mo Nb,1.193,3.226
Ag Li Nb,1.38,3.256
Cd Li Nb,0.794,3.623
In Li Nb,0.781,3.258
Li Nb Sn,0.748,3.003
Cs Li Nb,1.307,4.051
Ba Li Nb,1.055,3.406
Hf Li Nb,1.286,3.875
Li Nb Ta,0.893,3.559
Li Nb W,1.372,3.834
Li Nb Os,1.221,4.623
Ir Li Nb,1.436,3.956
Li Nb Pt,0.988,3.504
Au Li Nb,0.962,3.308
Hg Li Nb,0.995,4.25
Li Nb Tl,1.137,4.303
Li Nb Pb,1.068,3.281
Bi Li Nb,1.228,3.29
Ag Li Mo,1.433,3.037
Cd Li Mo,0.859,3.412
In Li Mo,0.847,3.039
Li Mo Sn,0.815,2.778
Cs Li Mo,1.36,3.849
Ba Li Mo,1.114,3.191
Hf Li Mo,1.34,3.67
Li Mo Ta,0.956,3.347
Li Mo W,1.425,3.627
Li Mo Os,1.277,4.431
Ir Li Mo,1.488,3.753
Li Mo Pt,1.048,3.291
Au Li Mo,1.023,3.09
Hg Li Mo,1.055,4.052
Li Mo Tl,1.194,4.106
Li Mo Pb,1.127,3.062
Bi Li Mo,1.283,3.072
Ag Cd Li,1.072,3.442
Ag Cs Li,1.537,3.877
Ag Ba Li,1.307,3.221
Ag Hf Li,1.519,3.699
Ag Li Ta,1.161,3.377
Ag Li W,1.598,3.657
Ag Li Os,1.459,4.458
Ag Ir Li,1.658,3.781
Ag Li Pt,1.246,3.321
Ag Au Li,1.222,3.121
Ag Hg Li,1.252,4.08
Cd Cs Li,0.989,4.222
Ba Cd Li,0.7,3.589
Cd Hf Li,0.966,4.049
Cd Li Ta,0.509,3.739
Cd Li W,1.063,4.009
Cd Li Os,0.892,4.785
Cd Ir Li,1.134,4.129
Cd Li Pt,0.621,3.685
Au Cd Li,0.591,3.493
Cd Hg Li,0.63,4.419
Cs In Li,0.977,3.878
Hf In Li,0.954,3.7
In Li Ta,0.495,3.378
In Li W,1.052,3.658
In Li Os,0.88,4.459
Hg In Li,0.617,4.081
In Li Pb,0.703,3.094
Cs Li Sn,0.947,3.64
Hf Li Sn,0.923,3.457
Li Sn Ta,0.457,3.127
Li Sn W,1.022,3.414
Li Os Sn,0.848,4.234
Hg Li Sn,0.581,3.848
Li Sn Tl,0.749,3.902
Li Pb Sn,0.668,2.836
Bi Li Sn,0.856,2.845
Ba Cs Li,1.231,4.018
Cs Hf Li,1.449,4.46
Cs Li Ta,1.081,4.162
Cs Li W,1.53,4.421
Cs Li Os,1.387,5.17
Cs Ir Li,1.591,4.537
Cs Li Pt,1.168,4.111
Au Cs Li,1.144,3.926
Cs Hg Li,1.175,4.816
Cs Li Tl,1.308,4.866
Cs Li Pb,1.244,3.9
Bi Cs Li,1.393,3.909
Ba Hf Li,1.21,3.842
Ba Li Ta,0.804,3.524
Ba Li W,1.299,3.8
Ba Li Os,1.143,4.592
Ba Ir Li,1.364,3.923
Ba Li Pt,0.902,3.47
Au Ba Li,0.875,3.273
Ba Hg Li,0.91,4.218
Ba Li Tl,1.056,4.271
Hf Li Ta,1.058,3.988
Hf Li W,1.511,4.252
Hf Li Os,1.368,5.012
Hf Ir Li,1.572,4.37
Hf Li Pt,1.147,3.936
Au Hf Li,1.123,3.748
Hf Hg Li,1.154,4.653
Hf Li Tl,1.288,4.703
Hf Li Pb,1.223,3.722
Li Ta W,1.152,3.947
Li Os Ta,0.987,4.728
Ir Li Ta,1.221,4.068
Li Pt Ta,0.729,3.622
Au Li Ta,0.7,3.428
Hg Li Ta,0.737,4.36
Li Ta Tl,0.895,4.411
Li Pb Ta,0.819,3.401
Bi Li Ta,0.994,3.41
Li Os W,1.451,4.975
Ir Li W,1.65,4.33
Li Pt W,1.237,3.895
Au Li W,1.214,3.706
Hg Li W,1.244,4.614
Li Tl W,1.374,4.665
Li Pb W,1.311,3.68
Bi Li W,1.457,3.689
Ir Li Os,1.514,5.085
Li Os Pt,1.079,4.679
Au Li Os,1.054,4.504
Hg Li Os,1.086,5.351
Li Os Tl,1.223,5.398
Li Os Pb,1.157,4.48
Bi Li Os,1.311,4.488
Ir Li Pt,1.305,4.017
Au Ir Li,1.282,3.83
Hg Ir Li,1.311,4.728
Ir Li Tl,1.438,4.778
Ir Li Pb,1.376,3.804
Bi Ir Li,1.519,3.813
Au Li Pt,0.803,3.373
Hg Li Pt,0.838,4.309
Li Pt Tl,0.989,4.361
Li Pb Pt,0.916,3.345
Bi Li Pt,1.085,3.355
Au Hg Li,0.81,4.128
Hg Li Pb,0.924,4.103
Bi Hg Li,1.092,4.111
Li Pb Tl,1.07,4.156
Bi Li Pb,1.163,3.127
Be Mg Na,5.125,3.761
Al Be Na,5.145,3.381
Be K Na,6.0,4.241
Be Ca Na,5.5,4.121
Be Na Sc,5.161,4.08
Be Na Ti,5.221,3.633
Be Na V,5.125,4.486
Be Cr Na,5.195,3.655
Be Mn Na,5.162,3.62
Be Fe Na,5.267,3.267
Be Co Na,5.109,3.495
Be Na Ni,5.079,3.331
Be Cu Na,5.146,3.314
Be Na Zn,5.083,3.556
Be Ga Na,5.115,4.011
Be Na Rb,5.186,5.174
Be Na Sr,5.226,4.215
Be Na Y,5.144,3.65
Be Na Zr,5.123,3.712
Be Na Nb,5.212,4.063
Be Mo Na,5.235,3.861
Ag Be Na,5.311,3.89
Be Cd Na,5.087,4.234
Be In Na,5.083,3.891
Be Na Sn,5.071,3.653
Be Cs Na,5.281,4.638
Ba Be Na,5.181,4.03
Be Hf Na,5.272,4.472
Be Na Ta,5.122,4.174
Be Na W,5.308,4.433
Be Na Os,5.246,5.181
Be Ir Na,5.335,4.549
Be Na Pt,5.156,4.123
Au Be Na,5.147,3.938
Be Hg Na,5.159,4.828
Be Na Tl,5.213,4.877
Be Na Pb,5.186,3.912
Be Bi Na,5.249,3.921
Al Be Mg,3.64,2.461
Be K Mg,4.707,3.403
Be Ca Mg,4.092,3.272
Be Mg Sc,3.661,3.227
Be Mg Ti,3.738,2.739
Be Mg V,3.614,3.668
Be Cr Mg,3.704,2.763
Be Mg Mn,3.662,2.724
Be Fe Mg,3.797,2.335
Be Co Mg,3.593,2.587
Be Mg Ni,3.555,2.406
Be Mg Zn,3.56,2.654
Be Ga Mg,3.601,3.152
Be Mg Rb,3.694,4.408
Be Mg Sr,3.745,3.375
Be Mg Y,3.638,2.757
Be Mg Zr,3.611,2.826
Be Mg Nb,3.727,3.209
Be Mg Mo,3.756,2.989
Ag Be Mg,3.854,3.02
Be Cd Mg,3.565,3.395
Be In Mg,3.559,3.021
Be Mg Sn,3.544,2.76
Be Cs Mg,3.815,3.833
Ba Be Mg,3.687,3.173
Be Hf Mg,3.804,3.653
Be Mg Ta,3.61,3.33
Be Mg W,3.849,3.611
Be Mg Os,3.77,4.416
Be Ir Mg,3.884,3.736
Be Mg Pt,3.655,3.274
Au Be Mg,3.642,3.073
Be Hg Mg,3.658,4.037
Be Mg Tl,3.728,4.09
