phases,scores,norm
Au Li Ta,159.266,3.428
Hg Li Ta,174.437,4.36
Li Ta Tl,175.278,4.411
Li Pb Ta,158.824,3.401
Bi Li Ta,158.976,3.41
Li Os W,184.449,4.975
Ir Li W,173.961,4.33
Li Pt W,166.873,3.895
Au Li W,163.8,3.706
Hg Li W,178.586,4.614
Li Tl W,179.408,4.665
Li Pb W,163.371,3.68
Bi Li W,163.518,3.689
Ir Li Os,186.246,5.085
Li Os Pt,179.644,4.679
Au Li Os,176.793,4.504
Hg Li Os,190.574,5.351
Li Os Tl,191.344,5.398
Li Os Pb,176.395,4.48
Bi Li Os,176.532,4.488
Ir Li Pt,168.858,4.017
Au Ir Li,165.822,3.83
Hg Ir Li,180.442,4.728
Ir Li Tl,181.256,4.778
Ir Li Pb,165.397,3.804
Bi Ir Li,165.543,3.813
Au Li Pt,158.37,3.373
Hg Li Pt,173.619,4.309
Li Pt Tl,174.465,4.361
Li Pb Pt,157.926,3.345
Bi Li Pt,158.079,3.355
Au Hg Li,170.668,4.128
Hg Li Pb,170.255,4.103
Bi Hg Li,170.397,4.111
Li Pb Tl,171.117,4.156
Bi Li Pb,154.377,3.127
Be Mg Na,164.7,3.761
Al Be Na,158.499,3.381
Be K Na,172.514,4.241
Be Ca Na,170.547,4.121
Be Na Sc,169.879,4.08
Be Na Ti,162.613,3.633
Be Na V,176.489,4.486
Be Cr Na,162.962,3.655
Be Mn Na,162.398,3.62
Be Fe Na,156.648,3.267
Be Co Na,160.365,3.495
Be Na Ni,157.69,3.331
Be Cu Na,157.415,3.314
Be Na Zn,161.358,3.556
Be Ga Na,168.757,4.011
Be Na Rb,187.688,5.174
Be Na Sr,172.09,4.215
Be Na Y,162.879,3.65
Be Na Zr,163.897,3.712
Be Na Nb,169.606,4.063
Be Mo Na,166.323,3.861
Ag Be Na,166.787,3.89
Be Cd Na,172.397,4.234
Be In Na,166.805,3.891
Be Na Sn,162.928,3.653
Be Cs Na,178.975,4.638
Ba Be Na,169.075,4.03
Be Hf Na,176.269,4.472
Be Na Ta,171.414,4.174
Be Na W,175.635,4.433
Be Na Os,187.811,5.181
Be Ir Na,177.521,4.549
Be Na Pt,170.582,4.123
Au Be Na,167.577,3.938
Be Hg Na,182.056,4.828
Be Na Tl,182.863,4.877
Be Na Pb,167.157,3.912
Be Bi Na,167.301,3.921
Al Be Mg,143.523,2.461
Be K Mg,158.865,3.403
Be Ca Mg,156.727,3.272
Be Mg Sc,156.0,3.227
