phases,leaf,mat2vec,if_pareto,pareto_front,elements
Co Pb Zn,0.55,1.467,-,24,Co
Co Mg Zr,0.477,1.469,-,6,Co
Al Cd Ni,0.315,1.47,-,28,Al
Mg Sn Zn,0.195,1.47,-,9,Mg
Cr Mg Zn,0.629,1.472,-,7,Cr
Au Cu Zr,0.669,1.474,-,4,Au
Al Au Y,0.728,1.476,-,2,Al
Ba Cu Mn,0.888,1.477,-,15,Ba
Bi Co Zn,0.747,1.478,-,16,Bi
Au Fe Mg,1.024,1.479,-,17,Au
Fe Nb Ti,1.424,1.479,-,21,Fe
Al K Ni,2.533,1.48,-,19,Al
Al Au Sn,0.498,1.48,-,26,Al
Al Au Cr,0.877,1.482,-,30,Al
Ni Sc Zn,0.361,1.483,-,8,Ni
Fe Mn Sc,1.157,1.485,-,21,Fe
Au Ni Zr,0.451,1.494,-,17,Au
Ag Mg Ni,0.965,1.494,-,5,Ag
Ba Cu Ti,1.05,1.494,-,28,Ba
Al In Zr,0.456,1.494,-,7,Al
Cr Cu Ga,0.791,1.495,-,24,Cr
Co Mo Ti,1.092,1.497,-,27,Co
Ba Mn Ni,0.692,1.498,-,7,Ba
Fe Nb Y,1.24,1.5,-,20,Fe
Ti Y Zr,0.883,1.5,-,28,Ti
Au Co Zn,0.414,1.5,-,17,Au
Cu Mg Pb,0.796,1.503,-,29,Cu
Co Fe Sr,1.188,1.509,-,22,Co
Co Cu Ta,0.544,1.511,-,6,Co
Ba Ni Ti,0.867,1.515,-,21,Ba
Ba Cu Y,0.835,1.515,-,29,Ba
Ag Co Mn,1.14,1.518,-,9,Ag
Cu Mn Nb,0.974,1.52,-,22,Cu
Ba Cr Cu,0.978,1.521,-,22,Ba
Co Mo Sn,0.669,1.522,-,29,Co
Mg Ni Pb,0.591,1.524,-,25,Mg
Sn Y Zr,0.413,1.525,-,26,Sn
Mg Mn Ti,0.941,1.526,-,17,Mg
Cr Y Zr,0.806,1.527,-,11,Cr
Cr Fe Sc,1.238,1.529,-,6,Cr
Fe Ta Zn,0.84,1.53,-,24,Fe
Cd Co Fe,0.813,1.534,-,22,Cd
Al Bi Zr,0.963,1.534,-,30,Al
Ag Co Ti,1.287,1.535,-,23,Ag
Ba Ni Y,0.635,1.535,-,23,Ba
Ba Fe Zr,1.109,1.537,-,25,Ba
Ca Fe Mn,1.925,1.539,-,16,Ca
Mn Nb Ni,0.786,1.541,-,29,Mn
Ba Cr Ni,0.79,1.542,-,29,Ba
Al Sc Zn,0.583,1.544,-,5,Al
Co Fe K,2.777,1.544,-,20,Co
Ag Fe Mo,1.675,1.545,-,21,Ag
Fe In Mo,1.145,1.546,-,24,Fe
Co Mn Pb,0.795,1.547,-,10,Co
Cr Mg Mn,0.866,1.553,-,30,Cr
Ag Co Y,1.092,1.555,-,22,Ag
Ca Fe Ti,2.039,1.556,-,18,Ca
Al In Mg,0.463,1.557,-,8,Al
Mn Mo Zn,0.863,1.557,-,25,Mn
Cu Nb Y,0.924,1.558,-,29,Cu
Al Ba Mn,0.883,1.559,-,8,Al
Fe Pt Ti,1.292,1.559,-,25,Fe
Ag Co Sn,0.898,1.559,-,26,Ag
Bi Co Mn,0.972,1.559,-,8,Bi
Cu Sc Ti,0.995,1.559,-,26,Cu
Mg Ti Y,0.889,1.563,-,26,Mg
Co Pb Ti,0.963,1.564,-,27,Co
Co Cu Sr,0.865,1.566,-,27,Co
Fe Ga Mg,0.938,1.574,-,27,Fe
Fe Mo Pb,1.396,1.574,-,28,Fe
Mo Ti Zn,1.026,1.574,-,26,Mo
Al Ga Sn,0.388,1.575,-,29,Al
Al Ba Ti,1.045,1.576,-,28,Al
Al Cr Ga,0.786,1.577,-,29,Al
Nb Ni Y,0.731,1.578,-,6,Nb
Fe Pt Y,1.098,1.579,-,30,Fe
Ca Fe Sn,1.743,1.58,-,21,Ca
Cu Sc Y,0.775,1.58,-,19,Cu
Ag Fe In,1.336,1.583,-,20,Ag
Fe Sr Zn,1.124,1.585,-,23,Fe
Bi Fe Mo,1.538,1.585,-,18,Bi
Cu Ta Zn,0.459,1.587,-,22,Cu
Co Pb Sn,0.512,1.588,-,28,Co
Co Cr Pb,0.888,1.591,-,17,Co
Cd Co Cu,0.426,1.592,-,9,Cd
Mo Y Zn,0.809,1.594,-,10,Mo
Cr Mg Sn,0.592,1.594,-,24,Cr
Ba Cu Zr,0.775,1.594,-,27,Ba
In Mn Zn,0.379,1.595,-,7,In
Al Bi Mg,0.969,1.596,-,24,Al
Al Ba Y,0.831,1.596,-,12,Al
Au Co Ti,0.851,1.597,-,21,Au
Ca Cu Mn,1.679,1.597,-,6,Ca
Bi Co Sn,0.712,1.6,-,29,Bi
Ba Fe Mg,1.115,1.6,-,25,Ba
Fe Ni W,1.319,1.6,-,26,Fe
Cr Mo Zn,0.953,1.601,-,19,Cr
Cr Ni Sc,0.729,1.607,-,29,Cr
Ni Ta Zn,0.213,1.608,-,30,Ni
Cd Fe Zn,0.738,1.61,-,25,Cd
Ag Ti Zn,1.225,1.611,-,20,Ag
Cd Co Ni,0.176,1.612,-,3,Cd
In Ti Zn,0.581,1.612,-,21,In
Ba Ni Zr,0.568,1.615,-,2,Ba
Cu Pt Ti,0.982,1.616,-,11,Cu
Ca Mn Ni,1.535,1.617,-,11,Ca
